p_date	p_time	clientip	host	webcat	respcode	reqmethod	useragent	resconttype	referer	uriport	serverip	scbytes	csbytes	fulluri
2016-07-07	06:23:47	10.19.122.176	ad.afy11.net	Web Ads/Analytics;Non-Viewable/Infrastructure	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36	image/gif	http://cdn.turn.com/server/ddc.htm?uid=3997121287192879915&mktid=74&mpid=3808568&fpid=-1&rnd=2901534849516990570&nu=n&sp=n&ctid=1&cyid=2	80	10.7.210.157	1310	2563	ad.afy11.net/ad?mode=7&publisher_dsp_id=2&external_user_id=3997121287192879915
2016-07-07	05:31:57	10.19.122.176	ad.afy11.net	Web Ads/Analytics;Non-Viewable/Infrastructure	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36	image/gif	http://cdn.turn.com/server/ddc.htm?uid=3997121287192879915&mktid=75&mpid=3808492&fpid=-1&rnd=2777609686104621827&nu=n&sp=n&ctid=1&cyid=2	80	10.7.210.157	1310	2563	ad.afy11.net/ad?mode=7&publisher_dsp_id=2&external_user_id=3997121287192879915
2016-07-07	12:35:09	10.19.122.176	ad.afy11.net	Web Ads/Analytics;Non-Viewable/Infrastructure	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36	image/gif	http://cdn.turn.com/server/ddc.htm?uid=3997121287192879915&mktid=74&mpid=3808568&fpid=-1&rnd=4192977153049137068&nu=n&sp=n&ctid=1&cyid=2	80	10.7.210.157	1310	2563	ad.afy11.net/ad?mode=7&publisher_dsp_id=2&external_user_id=3997121287192879915
2016-07-07	19:05:10	10.19.122.176	ad.afy11.net	Web Ads/Analytics;Non-Viewable/Infrastructure	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36	image/gif	http://cdn.turn.com/server/ddc.htm?uid=3997121287192879915&mktid=75&mpid=3808492&fpid=-1&rnd=2324044672035818664&nu=n&sp=n&ctid=1&cyid=2	80	10.7.210.157	1310	2563	ad.afy11.net/ad?mode=7&publisher_dsp_id=2&external_user_id=3997121287192879915
2016-07-07	08:57:17	10.19.122.176	ad.afy11.net	Web Ads/Analytics;Non-Viewable/Infrastructure	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36	image/gif	http://cdn.turn.com/server/ddc.htm?uid=3997121287192879915&mktid=74&mpid=3808568&fpid=-1&rnd=4600661762519564980&nu=n&sp=n&ctid=1&cyid=2	80	10.7.210.157	1310	2563	ad.afy11.net/ad?mode=7&publisher_dsp_id=2&external_user_id=3997121287192879915
2016-07-07	09:01:56	10.19.122.176	ad.afy11.net	Web Ads/Analytics;Non-Viewable/Infrastructure	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36	image/gif	http://cdn.turn.com/server/ddc.htm?uid=3997121287192879915&mktid=74&mpid=3808568&fpid=-1&rnd=3184263468855472197&nu=n&sp=n&ctid=1&cyid=2	80	10.7.210.157	1310	2563	ad.afy11.net/ad?mode=7&publisher_dsp_id=2&external_user_id=3997121287192879915
2016-07-07	07:19:23	10.19.122.176	ad.afy11.net	Web Ads/Analytics;Non-Viewable/Infrastructure	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36	image/gif	http://cdn.turn.com/server/ddc.htm?uid=3997121287192879915&mktid=74&mpid=3808568&fpid=-1&rnd=2645163084340305277&nu=n&sp=n&ctid=1&cyid=2	80	10.7.210.157	1310	2563	ad.afy11.net/ad?mode=7&publisher_dsp_id=2&external_user_id=3997121287192879915
2016-07-07	05:56:03	10.19.122.176	ad.afy11.net	Web Ads/Analytics;Non-Viewable/Infrastructure	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36	image/gif	http://cdn.turn.com/server/ddc.htm?uid=3997121287192879915&mktid=75&mpid=3808492&fpid=-1&rnd=7860418300622922304&nu=n&sp=n&ctid=1&cyid=2	80	10.7.210.157	1310	2563	ad.afy11.net/ad?mode=7&publisher_dsp_id=2&external_user_id=3997121287192879915
2016-07-07	12:56:21	10.19.122.176	ad.afy11.net	Web Ads/Analytics;Non-Viewable/Infrastructure	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36	image/gif	http://cdn.turn.com/server/ddc.htm?uid=3997121287192879915&mktid=74&mpid=3808568&fpid=-1&rnd=4357259269212239950&nu=n&sp=n&ctid=1&cyid=2	80	10.7.210.157	1310	2563	ad.afy11.net/ad?mode=7&publisher_dsp_id=2&external_user_id=3997121287192879915
2016-07-07	11:39:43	10.19.122.176	ad.afy11.net	Web Ads/Analytics;Non-Viewable/Infrastructure	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36	image/gif	http://cdn.turn.com/server/ddc.htm?uid=3997121287192879915&mktid=74&mpid=3808568&fpid=-1&rnd=7980626886385431087&nu=n&sp=n&ctid=1&cyid=2	80	10.7.210.157	1310	2563	ad.afy11.net/ad?mode=7&publisher_dsp_id=2&external_user_id=3997121287192879915
