p_date	p_time	clientip	host	webcat	respcode	reqmethod	useragent	resconttype	referer	uriport	serverip	scbytes	csbytes	fulluri
2016-07-07	10:25:39	10.19.122.176	adadvisor.net	Web Ads/Analytics	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36	application/javascript	http://cdn.turn.com/server/ddc.htm?uid=3997121287192879915&mktid=74&mpid=3808568&fpid=-1&rnd=2443068515975165301&nu=n&sp=n&ctid=1&cyid=2	80	10.7.210.157	444	768	adadvisor.net/adscores/g.js?sid=9201023828
2016-07-07	05:31:26	10.19.122.176	adadvisor.net	Web Ads/Analytics	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36	application/javascript	http://cdn.turn.com/server/ddc.htm?uid=3997121287192879915&mktid=75&mpid=3808492&fpid=-1&rnd=2744756544277461923&nu=n&sp=n&ctid=1&cyid=2	80	10.7.210.157	444	768	adadvisor.net/adscores/g.js?sid=9201023828
2016-07-07	11:05:19	10.19.122.176	adadvisor.net	Web Ads/Analytics	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36	application/javascript	http://cdn.turn.com/server/ddc.htm?uid=3997121287192879915&mktid=74&mpid=3808568&fpid=-1&rnd=4512110016842840257&nu=n&sp=n&ctid=1&cyid=2	80	10.7.210.157	444	768	adadvisor.net/adscores/g.js?sid=9201023828
2016-07-07	17:58:21	10.19.122.176	adadvisor.net	Web Ads/Analytics	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36	application/javascript	http://cdn.turn.com/server/ddc.htm?uid=3997121287192879915&mktid=74&mpid=3808568&fpid=-1&rnd=2526403577729515532&nu=n&sp=n&ctid=1&cyid=2	80	10.7.210.157	444	768	adadvisor.net/adscores/g.js?sid=9201023828
2016-07-07	11:18:06	10.19.122.176	adadvisor.net	Web Ads/Analytics	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36	application/javascript	http://cdn.turn.com/server/ddc.htm?uid=3997121287192879915&mktid=74&mpid=3808568&fpid=-1&rnd=2393298006831090483&nu=n&sp=n&ctid=1&cyid=2	80	10.7.210.157	444	768	adadvisor.net/adscores/g.js?sid=9201023828
2016-07-07	10:54:22	10.19.122.176	adadvisor.net	Web Ads/Analytics	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36	application/javascript	http://cdn.turn.com/server/ddc.htm?uid=3997121287192879915&mktid=74&mpid=3808568&fpid=-1&rnd=4429771102590058213&nu=n&sp=n&ctid=1&cyid=2	80	10.7.210.157	444	768	adadvisor.net/adscores/g.js?sid=9201023828
2016-07-07	07:43:09	10.19.122.176	adadvisor.net	Web Ads/Analytics	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36	application/javascript	http://cdn.turn.com/server/ddc.htm?uid=3997121287192879915&mktid=74&mpid=3808568&fpid=-1&rnd=7086552608543076907&nu=n&sp=n&ctid=1&cyid=-1	80	10.7.210.157	444	769	adadvisor.net/adscores/g.js?sid=9201023828
2016-07-07	07:19:23	10.19.122.176	adadvisor.net	Web Ads/Analytics	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36	application/javascript	http://cdn.turn.com/server/ddc.htm?uid=3997121287192879915&mktid=74&mpid=3808568&fpid=-1&rnd=2645163084340305277&nu=n&sp=n&ctid=1&cyid=2	80	10.7.210.157	444	768	adadvisor.net/adscores/g.js?sid=9201023828
2016-07-07	07:20:56	10.19.122.176	adadvisor.net	Web Ads/Analytics	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36	application/javascript	http://cdn.turn.com/server/ddc.htm?uid=3997121287192879915&mktid=74&mpid=3808568&fpid=-1&rnd=2538890781847305041&nu=n&sp=n&ctid=1&cyid=2	80	10.7.210.157	444	768	adadvisor.net/adscores/g.js?sid=9201023828
2016-07-07	09:28:26	10.19.122.176	adadvisor.net	Web Ads/Analytics	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36	application/javascript	http://cdn.turn.com/server/ddc.htm?uid=3997121287192879915&mktid=74&mpid=3808568&fpid=-1&rnd=3346993371598106331&nu=n&sp=n&ctid=1&cyid=2	80	10.7.210.157	444	768	adadvisor.net/adscores/g.js?sid=9201023828
