p_date	p_time	clientip	host	webcat	respcode	reqmethod	useragent	resconttype	referer	uriport	serverip	scbytes	csbytes	fulluri
2016-07-07	12:49:09	10.21.59.39	cm.g.doubleclick.net	Web Ads/Analytics	No Content	GET	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET CLR 1.1.4322; .NET4.0C; .NET4.0E; MS-RTC LM 8; InfoPath.3)	text/html	http://tpc.googlesyndication.com/safeframe/1-0-2/html/container.html	80	10.7.210.157	295	784	cm.g.doubleclick.net/push?client=ca-pub-2400833883574909
2016-07-07	12:51:03	10.21.59.39	cm.g.doubleclick.net	Web Ads/Analytics	No Content	GET	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET CLR 1.1.4322; .NET4.0C; .NET4.0E; MS-RTC LM 8; InfoPath.3)	text/html	http://tpc.googlesyndication.com/safeframe/1-0-2/html/container.html	80	10.7.210.157	295	784	cm.g.doubleclick.net/push?client=ca-pub-2400833883574909
2016-07-07	12:51:03	10.21.59.39	cm.g.doubleclick.net	Web Ads/Analytics	OK	GET	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET CLR 1.1.4322; .NET4.0C; .NET4.0E; MS-RTC LM 8; InfoPath.3)	text/html	http://tpc.googlesyndication.com/safeframe/1-0-2/html/container.html	80	10.7.210.157	683	784	cm.g.doubleclick.net/push?client=ca-pub-2400833883574909
2016-07-07	12:35:28	10.21.59.39	cm.g.doubleclick.net	Web Ads/Analytics	OK	GET	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET CLR 1.1.4322; .NET4.0C; .NET4.0E; MS-RTC LM 8; InfoPath.3)	text/html	http://tpc.googlesyndication.com/safeframe/1-0-2/html/container.html	80	10.7.210.157	583	784	cm.g.doubleclick.net/push?client=ca-pub-2400833883574909
2016-07-07	12:36:56	10.21.59.39	cm.g.doubleclick.net	Web Ads/Analytics	No Content	GET	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET CLR 1.1.4322; .NET4.0C; .NET4.0E; MS-RTC LM 8; InfoPath.3)	text/html	http://tpc.googlesyndication.com/safeframe/1-0-2/html/container.html	80	10.7.210.157	295	784	cm.g.doubleclick.net/push?client=ca-pub-2400833883574909
2016-07-07	12:38:24	10.21.59.39	cm.g.doubleclick.net	Web Ads/Analytics	No Content	GET	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET CLR 1.1.4322; .NET4.0C; .NET4.0E; MS-RTC LM 8; InfoPath.3)	text/html	http://www.trulia.com/for_sale/Beaverton,OR/0-350000_price/3_p	80	10.7.210.157	295	778	cm.g.doubleclick.net/push?client=ca-pub-2400833883574909
2016-07-07	12:38:25	10.21.59.39	cm.g.doubleclick.net	Web Ads/Analytics	No Content	GET	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET CLR 1.1.4322; .NET4.0C; .NET4.0E; MS-RTC LM 8; InfoPath.3)	text/html	-	80	10.7.210.157	295	517	cm.g.doubleclick.net/push?client=ca-pub-2400833883574909
2016-07-07	08:51:58	10.21.59.39	cm.g.doubleclick.net	Web Ads/Analytics	No Content	GET	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET CLR 1.1.4322; .NET4.0C; .NET4.0E; MS-RTC LM 8; InfoPath.3)	text/html	-	80	10.7.210.157	295	517	cm.g.doubleclick.net/push?client=ca-pub-2400833883574909
2016-07-07	12:45:00	10.21.59.39	cm.g.doubleclick.net	Web Ads/Analytics	No Content	GET	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET CLR 1.1.4322; .NET4.0C; .NET4.0E; MS-RTC LM 8; InfoPath.3)	text/html	http://tpc.googlesyndication.com/safeframe/1-0-2/html/container.html	80	10.7.210.157	295	784	cm.g.doubleclick.net/push?client=ca-pub-2400833883574909
2016-07-07	12:45:00	10.21.59.39	cm.g.doubleclick.net	Web Ads/Analytics	No Content	GET	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET CLR 1.1.4322; .NET4.0C; .NET4.0E; MS-RTC LM 8; InfoPath.3)	text/html	http://tpc.googlesyndication.com/safeframe/1-0-2/html/container.html	80	10.7.210.157	295	784	cm.g.doubleclick.net/push?client=ca-pub-2400833883574909
