p_date	p_time	clientip	host	webcat	respcode	reqmethod	useragent	resconttype	referer	uriport	serverip	scbytes	csbytes	fulluri
2016-07-07	12:46:57	10.236.199.44	ad4.liverail.com	Web Ads/Analytics	OK	POST	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	text/xml;%20charset=UTF-8	http://aka.spotxcdn.com/[[IMPORT]]/vox-static.liverail.com/swf/v4/admanager.swf?LR_PUBLISHER_ID=1912&LR_PARTNERS=767034&LR_AUTOPLAY=0&LR_CONTENT=1&LR_VERTICALS=1&LR_DESCRIPTION=Yashi_&LR_TITLE=&LR_VIDEO_ID=	80	10.7.210.157	25736	1783	ad4.liverail.com
2016-07-07	12:47:40	10.236.199.44	ad4.liverail.com	Web Ads/Analytics	OK	POST	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	text/xml;%20charset=UTF-8	http://www.haaretz.co.il/	80	10.7.210.157	5042	1571	ad4.liverail.com
2016-07-07	12:48:01	10.236.199.44	ad4.liverail.com	Web Ads/Analytics	OK	POST	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	text/xml;%20charset=UTF-8	http://live.sekindo.com/[[IMPORT]]/vox-static.liverail.com/swf/v4/admanager.swf?LR_PUBLISHER_ID=55930&LR_URL=www.themarker.com&LR_AUTOPLAY=1&LR_MUTED=0&LR_TITLE=Health+-+Losing+Weight+on+the+Hunger+Scale&LR_VIDEO_ID=Health+-+Losing+Weight+on+the+Hunger+Scale&LR_CONTENT=1&LR_VIDEO_URL=http%3A%2F%2Fvideo.sekindo.com%2Fuploads%2Fvideo%2Flosing_weight_on_the_hunger_scale.mp4&LR_DESCRIPTION=A+New+Way+of+Eating+-+Losing+Weight+on+the+Hunger+Scale&LR_VIDEO_DURATION=108	80	10.7.210.157	13212	2330	ad4.liverail.com
2016-07-07	12:51:00	10.236.199.44	ad4.liverail.com	Web Ads/Analytics	OK	POST	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	text/xml;%20charset=UTF-8	http://cdn-static.liverail.com/swf/v4/admanager.swf	80	10.7.210.157	9101	3049	ad4.liverail.com
2016-07-07	13:57:56	10.236.199.44	ad4.liverail.com	Web Ads/Analytics	OK	POST	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	text/xml;%20charset=UTF-8	http://vox-static.liverail.com/swf/v4/admanager.swf?LR_PUBLISHER_ID=64271&LR_URL=tpc.googlesyndication.com%2Fsafeframe%2F1-0-2%2Fhtml%2Fcontainer.html%23xpc%3Dsf-gdn-exp-2%26p%3Dhttp%253a%2F%2Fwww.haaretz.co.il&LR_VIDEO_ID=VIDEO_ID&LR_TITLE=VIDEO_TITLE	80	10.7.210.157	6119	1953	ad4.liverail.com
2016-07-07	13:58:10	10.236.199.44	ad4.liverail.com	Web Ads/Analytics	OK	POST	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	text/xml;%20charset=UTF-8	http://vox-static.liverail.com/swf/v4/admanager.swf?LR_PUBLISHER_ID=26403&LR_PARTNERS=761763&LR_CONTENT=1&LR_AUTOPLAY=1	80	10.7.210.157	2821	1708	ad4.liverail.com
2016-07-07	10:00:57	10.236.199.44	ad4.liverail.com	Web Ads/Analytics	OK	POST	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	text/xml;%20charset=UTF-8	http://cdn-static.liverail.com/swf/v4/admanager.swf	80	10.7.210.157	24518	2574	ad4.liverail.com
2016-07-07	13:59:35	10.236.199.44	ad4.liverail.com	Web Ads/Analytics	OK	POST	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	text/xml;%20charset=UTF-8	http://vox-static.liverail.com/swf/v4/admanager.swf?LR_PUBLISHER_ID=13051&LR_VIDEO_AMID=vast_67745&LR_VERTICALS=vast&LR_URL=www.haaretz.co.il%2F&LR_AUTOPLAY=0&LR_CONTENT=0&LR_TAGS=lrc&LR_CUSTOM1=&LR_IP=134.134.139.74	80	10.7.210.157	5184	1791	ad4.liverail.com
2016-07-07	14:01:28	10.236.199.44	ad4.liverail.com	Web Ads/Analytics	OK	POST	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	text/xml;%20charset=UTF-8	http://vox-static.liverail.com/swf/v4/admanager.swf?LR_PUBLISHER_ID=13051&LR_VIDEO_AMID=vast_67745&LR_VERTICALS=vast&LR_URL=www.haaretz.co.il%2F&LR_AUTOPLAY=0&LR_CONTENT=0&LR_TAGS=&LR_CUSTOM1=&LR_IP=134.134.137.73	80	10.7.210.157	15528	1774	ad4.liverail.com
2016-07-07	14:01:45	10.236.199.44	ad4.liverail.com	Web Ads/Analytics	OK	POST	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	text/xml;%20charset=UTF-8	http://vox-static.liverail.com/swf/v4/admanager.swf?LR_PUBLISHER_ID=13051&LR_VIDEO_AMID=vast_67745&LR_VERTICALS=vast&LR_URL=www.haaretz.co.il%2F&LR_AUTOPLAY=0&LR_CONTENT=0&LR_TAGS=&LR_CUSTOM1=&LR_IP=134.134.139.74	80	10.7.210.157	15442	1848	ad4.liverail.com
2016-07-07	14:08:02	10.236.199.44	ad4.liverail.com	Web Ads/Analytics	OK	POST	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	text/xml;%20charset=UTF-8	http://vox-static.liverail.com/swf/v4/admanager.swf?LR_PUBLISHER_ID=13051&LR_VIDEO_AMID=vast_67745&LR_VERTICALS=vast&LR_URL=www.haaretz.co.il%2F&LR_AUTOPLAY=0&LR_CONTENT=0&LR_TAGS=lrc&LR_CUSTOM1=&LR_IP=134.134.139.77	80	10.7.210.157	2362	1791	ad4.liverail.com
2016-07-07	14:09:55	10.236.199.44	ad4.liverail.com	Web Ads/Analytics	OK	POST	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	text/xml;%20charset=UTF-8	http://vox-static.liverail.com/swf/v4/admanager.swf?LR_PUBLISHER_ID=96110&LR_AUTOPLAY=[AUTOPLAY]&LR_MUTED=[MUTED]&LR_WIDTH=&LR_HEIGHT=	80	10.7.210.157	7166	1626	ad4.liverail.com
2016-07-07	13:26:14	10.236.199.44	ad4.liverail.com	Web Ads/Analytics	OK	POST	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	text/xml;%20charset=UTF-8	http://live.sekindo.com/[[IMPORT]]/vox-static.liverail.com/swf/v4/admanager.swf?LR_PUBLISHER_ID=55930&LR_URL=www.themarker.com&LR_AUTOPLAY=1&LR_MUTED=0&LR_TITLE=Health+-+Ending+A+Relationship&LR_VIDEO_ID=Health+-+Ending+A+Relationship&LR_CONTENT=1&LR_VIDEO_URL=http%3A%2F%2Fvideo.sekindo.com%2Fuploads%2Fvideo%2Fending_a_relationship.mp4&LR_DESCRIPTION=Ending+a+Relationship+and+The+Ways+to+Overcome+it&LR_VIDEO_DURATION=91	80	10.7.210.157	12244	2218	ad4.liverail.com
2016-07-07	13:28:23	10.236.199.44	ad4.liverail.com	Web Ads/Analytics	OK	POST	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	text/xml;%20charset=UTF-8	http://vox-static.liverail.com/swf/v4/admanager.swf?LR_PUBLISHER_ID=96110&LR_AUTOPLAY=[AUTOPLAY]&LR_MUTED=[MUTED]&LR_WIDTH=&LR_HEIGHT=	80	10.7.210.157	5435	1626	ad4.liverail.com
2016-07-07	13:29:19	10.236.199.44	ad4.liverail.com	Web Ads/Analytics	OK	POST	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	text/xml;%20charset=UTF-8	http://vox-static.liverail.com/swf/v4/admanager.swf?LR_PUBLISHER_ID=13051&LR_VIDEO_AMID=vast_67745&LR_VERTICALS=vast&LR_URL=www.haaretz.co.il%2F&LR_AUTOPLAY=0&LR_CONTENT=0&LR_TAGS=lrc&LR_CUSTOM1=&LR_IP=134.134.139.70	80	10.7.210.157	4035	1791	ad4.liverail.com
2016-07-07	13:29:20	10.236.199.44	ad4.liverail.com	Web Ads/Analytics	OK	POST	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	text/xml;%20charset=UTF-8	http://vox-static.liverail.com/swf/v4/admanager.swf?LR_PUBLISHER_ID=13051&LR_VIDEO_AMID=vast_67745&LR_VERTICALS=vast&LR_URL=www.haaretz.co.il%2F&LR_AUTOPLAY=0&LR_CONTENT=0&LR_TAGS=&LR_CUSTOM1=&LR_IP=134.134.139.70	80	10.7.210.157	16392	1774	ad4.liverail.com
2016-07-07	12:35:20	10.236.199.44	ad4.liverail.com	Web Ads/Analytics	OK	POST	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	text/xml;%20charset=UTF-8	http://vox-static.liverail.com/swf/v4/admanager.swf?LR_PUBLISHER_ID=13051&LR_VIDEO_AMID=vast_67745&LR_VERTICALS=vast&LR_URL=www.haaretz.co.il%2F&LR_AUTOPLAY=0&LR_CONTENT=0&LR_TAGS=lrc&LR_CUSTOM1=&LR_IP=134.134.137.71	80	10.7.210.157	1348	1752	ad4.liverail.com
2016-07-07	12:35:21	10.236.199.44	ad4.liverail.com	Web Ads/Analytics	OK	POST	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	text/xml;%20charset=UTF-8	http://aka.spotxcdn.com/[[IMPORT]]/vox-static.liverail.com/swf/v4/admanager.swf?LR_PUBLISHER_ID=1912&LR_PARTNERS=754356&LR_AUTOPLAY=1&LR_CONTENT=1&LR_VERTICALS=Entertainment&LR_DESCRIPTION=Yashi_YOUR_VIDEO_TITLE&LR_TITLE=YOUR_VIDEO_TITLE&LR_VIDEO_ID=YOUR_VIDEO_ID	80	10.7.210.157	6771	1827	ad4.liverail.com
2016-07-07	14:10:16	10.236.199.44	ad4.liverail.com	Web Ads/Analytics	OK	POST	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	text/xml;%20charset=UTF-8	http://vox-static.liverail.com/swf/v4/admanager.swf?LR_PUBLISHER_ID=13051&LR_VIDEO_AMID=vast_67745&LR_VERTICALS=vast&LR_URL=www.haaretz.co.il%2F&LR_AUTOPLAY=0&LR_CONTENT=0&LR_TAGS=&LR_CUSTOM1=&LR_IP=134.134.139.74	80	10.7.210.157	16350	1774	ad4.liverail.com
2016-07-07	12:39:40	10.236.199.44	ad4.liverail.com	Web Ads/Analytics	OK	POST	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	text/xml;%20charset=UTF-8	http://vox-static.liverail.com/swf/v4/admanager.swf?LR_PUBLISHER_ID=13051&LR_VIDEO_AMID=vast_67745&LR_VERTICALS=vast&LR_URL=www.haaretz.co.il%2F&LR_AUTOPLAY=0&LR_CONTENT=0&LR_TAGS=lrc&LR_CUSTOM1=&LR_IP=134.134.139.72	80	10.7.210.157	1351	1752	ad4.liverail.com
2016-07-07	12:39:52	10.236.199.44	ad4.liverail.com	Web Ads/Analytics	OK	POST	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	text/xml;%20charset=UTF-8	http://vox-static.liverail.com/swf/v4/admanager.swf?LR_PUBLISHER_ID=96110&LR_AUTOPLAY=[AUTOPLAY]&LR_MUTED=[MUTED]&LR_WIDTH=&LR_HEIGHT=	80	10.7.210.157	5441	1586	ad4.liverail.com
2016-07-07	12:39:58	10.236.199.44	ad4.liverail.com	Web Ads/Analytics	OK	POST	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	text/xml;%20charset=UTF-8	http://vox-static.liverail.com/swf/v4/admanager.swf?LR_PUBLISHER_ID=96110&LR_AUTOPLAY=[AUTOPLAY]&LR_MUTED=[MUTED]&LR_WIDTH=&LR_HEIGHT=	80	10.7.210.157	10644	1653	ad4.liverail.com
