p_date	p_time	clientip	host	webcat	respcode	reqmethod	useragent	resconttype	referer	uriport	serverip	scbytes	csbytes	fulluri
2016-07-07	03:35:50	10.24.176.99	geo.tp-cdn.com	Web Ads/Analytics	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	214	geo.tp-cdn.com
2016-07-07	02:20:45	10.24.176.99	geo.tp-cdn.com	Web Ads/Analytics	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	214	geo.tp-cdn.com
2016-07-07	15:51:29	10.24.176.99	geo.tp-cdn.com	Web Ads/Analytics	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	214	geo.tp-cdn.com
2016-07-07	17:26:35	10.24.176.99	geo.tp-cdn.com	Web Ads/Analytics	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	214	geo.tp-cdn.com
2016-07-07	18:41:39	10.24.176.99	geo.tp-cdn.com	Web Ads/Analytics	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	214	geo.tp-cdn.com
2016-07-07	18:46:39	10.24.176.99	geo.tp-cdn.com	Web Ads/Analytics	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	214	geo.tp-cdn.com
2016-07-07	18:11:37	10.24.176.99	geo.tp-cdn.com	Web Ads/Analytics	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	214	geo.tp-cdn.com
2016-07-07	02:50:47	10.24.176.99	geo.tp-cdn.com	Web Ads/Analytics	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	214	geo.tp-cdn.com
2016-07-07	15:01:27	10.24.176.99	geo.tp-cdn.com	Web Ads/Analytics	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	214	geo.tp-cdn.com
2016-07-07	15:06:27	10.24.176.99	geo.tp-cdn.com	Web Ads/Analytics	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	214	geo.tp-cdn.com
2016-07-07	16:26:31	10.24.176.99	geo.tp-cdn.com	Web Ads/Analytics	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	214	geo.tp-cdn.com
2016-07-07	23:51:54	10.24.176.99	geo.tp-cdn.com	Web Ads/Analytics	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	214	geo.tp-cdn.com
2016-07-07	03:40:51	10.24.176.99	geo.tp-cdn.com	Web Ads/Analytics	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	214	geo.tp-cdn.com
2016-07-07	20:56:45	10.24.176.99	geo.tp-cdn.com	Web Ads/Analytics	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	214	geo.tp-cdn.com
2016-07-07	13:56:24	10.24.176.99	geo.tp-cdn.com	Web Ads/Analytics	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	214	geo.tp-cdn.com
2016-07-07	07:26:02	10.24.176.99	geo.tp-cdn.com	Web Ads/Analytics	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	214	geo.tp-cdn.com
2016-07-07	13:26:22	10.24.176.99	geo.tp-cdn.com	Web Ads/Analytics	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	214	geo.tp-cdn.com
2016-07-07	13:31:22	10.24.176.99	geo.tp-cdn.com	Web Ads/Analytics	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	214	geo.tp-cdn.com
2016-07-07	08:31:06	10.24.176.99	geo.tp-cdn.com	Web Ads/Analytics	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	214	geo.tp-cdn.com
2016-07-07	19:41:42	10.24.176.99	geo.tp-cdn.com	Web Ads/Analytics	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	214	geo.tp-cdn.com
2016-07-07	03:00:48	10.24.176.99	geo.tp-cdn.com	Web Ads/Analytics	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	214	geo.tp-cdn.com
2016-07-07	16:36:32	10.24.176.99	geo.tp-cdn.com	Web Ads/Analytics	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	214	geo.tp-cdn.com
2016-07-07	10:01:11	10.24.176.99	geo.tp-cdn.com	Web Ads/Analytics	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	214	geo.tp-cdn.com
2016-07-07	10:06:11	10.24.176.99	geo.tp-cdn.com	Web Ads/Analytics	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	214	geo.tp-cdn.com
2016-07-07	21:56:48	10.24.176.99	geo.tp-cdn.com	Web Ads/Analytics	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	214	geo.tp-cdn.com
2016-07-07	22:01:48	10.24.176.99	geo.tp-cdn.com	Web Ads/Analytics	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	214	geo.tp-cdn.com
2016-07-07	17:31:35	10.24.176.99	geo.tp-cdn.com	Web Ads/Analytics	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	214	geo.tp-cdn.com
2016-07-07	03:45:51	10.24.176.99	geo.tp-cdn.com	Web Ads/Analytics	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	214	geo.tp-cdn.com
2016-07-07	03:50:52	10.24.176.99	geo.tp-cdn.com	Web Ads/Analytics	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	214	geo.tp-cdn.com
2016-07-07	19:01:40	10.24.176.99	geo.tp-cdn.com	Web Ads/Analytics	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	214	geo.tp-cdn.com
