p_date	p_time	clientip	host	webcat	respcode	reqmethod	useragent	resconttype	referer	uriport	serverip	scbytes	csbytes	fulluri
2016-07-07	06:23:37	10.24.176.99	www.facebook.com	Social Networking	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	218	www.facebook.com
2016-07-07	06:27:19	10.24.176.99	www.facebook.com	Social Networking	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	218	www.facebook.com
2016-07-07	12:48:51	10.24.176.99	www.facebook.com	Social Networking	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	218	www.facebook.com
2016-07-07	12:54:55	10.24.176.99	www.facebook.com	Social Networking	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	218	www.facebook.com
2016-07-07	03:35:50	10.24.176.99	www.facebook.com	Social Networking	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	218	www.facebook.com
2016-07-07	23:49:17	10.24.176.99	www.facebook.com	Social Networking	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	218	www.facebook.com
2016-07-07	15:51:05	10.24.176.99	www.facebook.com	Social Networking	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	218	www.facebook.com
2016-07-07	15:56:07	10.24.176.99	www.facebook.com	Social Networking	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	218	www.facebook.com
2016-07-07	16:29:52	10.24.176.99	www.facebook.com	Social Networking	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	218	www.facebook.com
2016-07-07	17:26:34	10.24.176.99	www.facebook.com	Social Networking	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	218	www.facebook.com
