p_date	p_time	clientip	host	webcat	respcode	reqmethod	useragent	resconttype	referer	uriport	serverip	scbytes	csbytes	fulluri
2016-07-07	02:35:10	10.241.106.14	c1.microsoft.com	Technology/Internet	OK	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	image/gif	http://www.microsoftstore.com/store/msusa/en_US/home	80	10.7.210.157	510	603	c1.microsoft.com/c.gif?DI=4050&did=1&t=
2016-07-07	10:11:14	10.241.106.14	c1.microsoft.com	Technology/Internet	OK	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	image/gif	http://www.microsoftstore.com/store/msusa/en_US/home	80	10.7.210.157	510	603	c1.microsoft.com/c.gif?DI=4050&did=1&t=
2016-07-07	14:00:27	10.241.106.14	c1.microsoft.com	Technology/Internet	OK	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	image/gif	http://www.microsoftstore.com/store/msusa/en_US/home	80	10.7.210.157	510	603	c1.microsoft.com/c.gif?DI=4050&did=1&t=
2016-07-07	14:00:32	10.241.106.14	c1.microsoft.com	Technology/Internet	OK	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	image/gif	http://www.xbox.com/en-US/	80	10.7.210.157	510	577	c1.microsoft.com/c.gif?DI=4050&did=1&t=
2016-07-07	21:11:30	10.241.106.14	c1.microsoft.com	Technology/Internet	OK	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	image/gif	http://www.xbox.com/en-US/	80	10.7.210.157	510	577	c1.microsoft.com/c.gif?DI=4050&did=1&t=
2016-07-07	17:27:34	10.241.106.14	c1.microsoft.com	Technology/Internet	OK	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	image/gif	http://www.microsoftstore.com/store/msusa/en_US/home	80	10.7.210.157	510	603	c1.microsoft.com/c.gif?DI=4050&did=1&t=
2016-07-07	17:12:51	10.241.106.14	c1.microsoft.com	Technology/Internet	OK	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	image/gif	http://www.xbox.com/en-US/	80	10.7.210.157	510	577	c1.microsoft.com/c.gif?DI=4050&did=1&t=
2016-07-07	02:20:23	10.241.106.14	c1.microsoft.com	Technology/Internet	OK	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	image/gif	http://www.xbox.com/en-US/	80	10.7.210.157	510	577	c1.microsoft.com/c.gif?DI=4050&did=1&t=
2016-07-07	10:58:16	10.241.106.14	c1.microsoft.com	Technology/Internet	OK	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	image/gif	http://www.microsoftstore.com/store/msusa/en_US/home	80	10.7.210.157	510	603	c1.microsoft.com/c.gif?DI=4050&did=1&t=
2016-07-07	21:41:45	10.241.106.14	c1.microsoft.com	Technology/Internet	OK	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	image/gif	http://www.microsoftstore.com/store/msusa/en_US/home	80	10.7.210.157	510	603	c1.microsoft.com/c.gif?DI=4050&did=1&t=
