p_date	p_time	clientip	host	webcat	respcode	reqmethod	useragent	resconttype	referer	uriport	serverip	scbytes	csbytes	fulluri
2016-07-07	14:05:22	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	Moved Permanently	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	-	-	80	10.7.210.157	592	2130	www.microsoftstore.com
2016-07-07	03:45:08	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	Moved Permanently	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	-	-	80	10.7.210.157	591	2130	www.microsoftstore.com
2016-07-07	17:10:03	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	Moved Permanently	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	-	-	80	10.7.210.157	591	2130	www.microsoftstore.com
2016-07-07	14:24:58	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	Moved Permanently	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	-	-	80	10.7.210.157	592	2130	www.microsoftstore.com
2016-07-07	15:12:13	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	Moved Permanently	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	-	-	80	10.7.210.157	592	2130	www.microsoftstore.com
2016-07-07	03:55:43	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	Moved Permanently	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	-	-	80	10.7.210.157	591	2130	www.microsoftstore.com
2016-07-07	09:17:16	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	Moved Permanently	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	-	-	80	10.7.210.157	592	2106	www.microsoftstore.com
2016-07-07	12:56:18	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	Moved Permanently	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	-	-	80	10.7.210.157	592	2232	www.microsoftstore.com
2016-07-07	01:23:16	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	Moved Permanently	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	-	-	80	10.7.210.157	592	2130	www.microsoftstore.com
2016-07-07	01:05:05	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	Moved Permanently	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	-	-	80	10.7.210.157	592	2130	www.microsoftstore.com
2016-07-07	01:42:26	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	Moved Permanently	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	-	-	80	10.7.210.157	592	2130	www.microsoftstore.com
