p_date	p_time	clientip	host	webcat	respcode	reqmethod	useragent	resconttype	referer	uriport	serverip	scbytes	csbytes	fulluri
2016-07-07	06:51:52	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	Found	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	-	-	80	10.7.210.157	580	2152	www.microsoftstore.com/promo?promoID=82836700
2016-07-07	10:57:06	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	Found	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	-	-	80	10.7.210.157	579	2152	www.microsoftstore.com/promo?promoID=82836700
2016-07-07	14:05:22	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	Found	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	-	-	80	10.7.210.157	579	2226	www.microsoftstore.com/promo?promoID=82836700
2016-07-07	17:10:03	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	Found	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	-	-	80	10.7.210.157	580	2226	www.microsoftstore.com/promo?promoID=82836700
2016-07-07	15:12:13	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	Found	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	-	-	80	10.7.210.157	580	2226	www.microsoftstore.com/promo?promoID=82836700
2016-07-07	03:45:08	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	Found	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	-	-	80	10.7.210.157	579	2226	www.microsoftstore.com/promo?promoID=82836700
2016-07-07	14:25:05	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	Found	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	-	-	80	10.7.210.157	580	2226	www.microsoftstore.com/promo?promoID=82836700
2016-07-07	09:17:16	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	Found	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	-	-	80	10.7.210.157	580	2202	www.microsoftstore.com/promo?promoID=82836700
2016-07-07	01:23:16	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	Found	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	-	-	80	10.7.210.157	580	2226	www.microsoftstore.com/promo?promoID=82836700
2016-07-07	10:28:25	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	Found	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	-	-	80	10.7.210.157	580	2136	www.microsoftstore.com/promo?promoID=82836700
2016-07-07	12:56:19	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	Found	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	-	-	80	10.7.210.157	579	2328	www.microsoftstore.com/promo?promoID=82836700
2016-07-07	03:55:43	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	Found	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	-	-	80	10.7.210.157	580	2226	www.microsoftstore.com/promo?promoID=82836700
2016-07-07	06:41:31	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	Found	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	-	-	80	10.7.210.157	580	2152	www.microsoftstore.com/promo?promoID=82836700
2016-07-07	08:07:20	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	Found	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	-	-	80	10.7.210.157	580	2128	www.microsoftstore.com/promo?promoID=82836700
2016-07-07	19:14:58	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	Found	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	-	-	80	10.7.210.157	580	2152	www.microsoftstore.com/promo?promoID=82836700
2016-07-07	01:42:27	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	Found	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	-	-	80	10.7.210.157	580	2226	www.microsoftstore.com/promo?promoID=82836700
2016-07-07	01:05:05	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	Found	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	-	-	80	10.7.210.157	580	2226	www.microsoftstore.com/promo?promoID=82836700
