p_date	p_time	clientip	host	webcat	respcode	reqmethod	useragent	resconttype	referer	uriport	serverip	scbytes	csbytes	fulluri
2016-07-07	15:12:14	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	OK	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	text/html	-	80	10.7.210.157	128907	2256	www.microsoftstore.com/store/msusa/en_US/home
2016-07-07	03:45:09	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	OK	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	text/html	-	80	10.7.210.157	128816	2256	www.microsoftstore.com/store/msusa/en_US/home
2016-07-07	06:51:52	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	OK	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	text/html	-	80	10.7.210.157	128987	2256	www.microsoftstore.com/store/msusa/en_US/home
2016-07-07	17:10:04	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	OK	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	text/html	-	80	10.7.210.157	128848	2256	www.microsoftstore.com/store/msusa/en_US/home
2016-07-07	14:05:22	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	OK	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	text/html	-	80	10.7.210.157	128869	2256	www.microsoftstore.com/store/msusa/en_US/home
2016-07-07	10:57:06	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	OK	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	text/html	-	80	10.7.210.157	128864	2256	www.microsoftstore.com/store/msusa/en_US/home
2016-07-07	03:55:44	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	OK	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	text/html	-	80	10.7.210.157	128799	2256	www.microsoftstore.com/store/msusa/en_US/home
2016-07-07	10:28:25	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	OK	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	text/html	-	80	10.7.210.157	128845	2240	www.microsoftstore.com/store/msusa/en_US/home
2016-07-07	06:41:31	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	OK	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	text/html	-	80	10.7.210.157	128816	2256	www.microsoftstore.com/store/msusa/en_US/home
2016-07-07	19:14:58	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	OK	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	text/html	-	80	10.7.210.157	128856	2256	www.microsoftstore.com/store/msusa/en_US/home
2016-07-07	14:25:18	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	OK	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	text/html	-	80	10.7.210.157	128884	2256	www.microsoftstore.com/store/msusa/en_US/home
2016-07-07	08:07:21	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	OK	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	text/html	-	80	10.7.210.157	128869	2232	www.microsoftstore.com/store/msusa/en_US/home
2016-07-07	01:23:16	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	OK	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	text/html	-	80	10.7.210.157	128798	2256	www.microsoftstore.com/store/msusa/en_US/home
2016-07-07	01:05:05	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	OK	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	text/html	-	80	10.7.210.157	128821	2256	www.microsoftstore.com/store/msusa/en_US/home
2016-07-07	09:17:16	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	OK	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	text/html	-	80	10.7.210.157	128883	2232	www.microsoftstore.com/store/msusa/en_US/home
2016-07-07	18:31:23	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	OK	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	text/html	-	80	10.7.210.157	128866	2284	www.microsoftstore.com/store/msusa/en_US/home
2016-07-07	12:56:19	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	OK	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	text/html	-	80	10.7.210.157	128905	2358	www.microsoftstore.com/store/msusa/en_US/home
2016-07-07	01:42:28	10.241.106.17	www.microsoftstore.com	Technology/Internet;Shopping	OK	GET	Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko	text/html	-	80	10.7.210.157	128798	2256	www.microsoftstore.com/store/msusa/en_US/home
