p_date	p_time	clientip	host	webcat	respcode	reqmethod	useragent	resconttype	referer	uriport	serverip	scbytes	csbytes	fulluri
2016-07-07	12:55:39	10.252.192.124	www.espncricinfo.com	Sports/Recreation	OK	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/json;%20charset=UTF-8	http://www.espncricinfo.com/icc-cricket-world-cup-2015/engine/match/656441.html	80	10.7.210.157	21115	1205	www.espncricinfo.com/ci/engine/match/656441.json?view=live;wrappertype=live;zakamai=1
2016-07-07	12:55:45	10.252.192.124	www.espncricinfo.com	Sports/Recreation	OK	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/json;%20charset=UTF-8	http://www.espncricinfo.com/icc-cricket-world-cup-2015/engine/match/656441.html	80	10.7.210.157	112354	1067	www.espncricinfo.com/ci/engine/match/656441.json?view=live;wrappertype=live;zakamai=1
2016-07-07	12:56:00	10.252.192.124	www.espncricinfo.com	Sports/Recreation	OK	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/json;%20charset=UTF-8	http://www.espncricinfo.com/icc-cricket-world-cup-2015/engine/match/656441.html	80	10.7.210.157	21115	1205	www.espncricinfo.com/ci/engine/match/656441.json?view=live;wrappertype=live;zakamai=1
2016-07-07	12:56:16	10.252.192.124	www.espncricinfo.com	Sports/Recreation	OK	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/json;%20charset=UTF-8	http://www.espncricinfo.com/icc-cricket-world-cup-2015/engine/match/656441.html	80	10.7.210.157	21124	1067	www.espncricinfo.com/ci/engine/match/656441.json?view=live;wrappertype=live;zakamai=1
2016-07-07	14:56:19	10.252.192.124	www.espncricinfo.com	Sports/Recreation	OK	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/json;%20charset=UTF-8	http://www.espncricinfo.com/icc-cricket-world-cup-2015/engine/match/656441.html	80	10.7.210.157	21162	1205	www.espncricinfo.com/ci/engine/match/656441.json?view=live;wrappertype=live;zakamai=1
2016-07-07	14:56:21	10.252.192.124	www.espncricinfo.com	Sports/Recreation	OK	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/json;%20charset=UTF-8	http://www.espncricinfo.com/icc-cricket-world-cup-2015/engine/match/656441.html	80	10.7.210.157	112524	1067	www.espncricinfo.com/ci/engine/match/656441.json?view=live;wrappertype=live;zakamai=1
2016-07-07	14:56:40	10.252.192.124	www.espncricinfo.com	Sports/Recreation	OK	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/json;%20charset=UTF-8	http://www.espncricinfo.com/icc-cricket-world-cup-2015/engine/match/656441.html	80	10.7.210.157	21161	1205	www.espncricinfo.com/ci/engine/match/656441.json?view=live;wrappertype=live;zakamai=1
2016-07-07	14:56:51	10.252.192.124	www.espncricinfo.com	Sports/Recreation	OK	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/json;%20charset=UTF-8	http://www.espncricinfo.com/icc-cricket-world-cup-2015/engine/match/656441.html	80	10.7.210.157	112525	1067	www.espncricinfo.com/ci/engine/match/656441.json?view=live;wrappertype=live;zakamai=1
2016-07-07	14:57:00	10.252.192.124	www.espncricinfo.com	Sports/Recreation	OK	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/json;%20charset=UTF-8	http://www.espncricinfo.com/icc-cricket-world-cup-2015/engine/match/656441.html	80	10.7.210.157	21162	1205	www.espncricinfo.com/ci/engine/match/656441.json?view=live;wrappertype=live;zakamai=1
2016-07-07	14:59:21	10.252.192.124	www.espncricinfo.com	Sports/Recreation	OK	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/json;%20charset=UTF-8	http://www.espncricinfo.com/icc-cricket-world-cup-2015/engine/match/656441.html	80	10.7.210.157	21162	1205	www.espncricinfo.com/ci/engine/match/656441.json?view=live;wrappertype=live;zakamai=1
2016-07-07	14:59:22	10.252.192.124	www.espncricinfo.com	Sports/Recreation	OK	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/json;%20charset=UTF-8	http://www.espncricinfo.com/icc-cricket-world-cup-2015/engine/match/656441.html	80	10.7.210.157	21171	1067	www.espncricinfo.com/ci/engine/match/656441.json?view=live;wrappertype=live;zakamai=1
2016-07-07	14:59:41	10.252.192.124	www.espncricinfo.com	Sports/Recreation	OK	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/json;%20charset=UTF-8	http://www.espncricinfo.com/icc-cricket-world-cup-2015/engine/match/656441.html	80	10.7.210.157	21162	1205	www.espncricinfo.com/ci/engine/match/656441.json?view=live;wrappertype=live;zakamai=1
2016-07-07	14:59:52	10.252.192.124	www.espncricinfo.com	Sports/Recreation	OK	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/json;%20charset=UTF-8	http://www.espncricinfo.com/icc-cricket-world-cup-2015/engine/match/656441.html	80	10.7.210.157	21170	1067	www.espncricinfo.com/ci/engine/match/656441.json?view=live;wrappertype=live;zakamai=1
2016-07-07	15:00:01	10.252.192.124	www.espncricinfo.com	Sports/Recreation	OK	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/json;%20charset=UTF-8	http://www.espncricinfo.com/icc-cricket-world-cup-2015/engine/match/656441.html	80	10.7.210.157	21163	1205	www.espncricinfo.com/ci/engine/match/656441.json?view=live;wrappertype=live;zakamai=1
2016-07-07	15:02:23	10.252.192.124	www.espncricinfo.com	Sports/Recreation	OK	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/json;%20charset=UTF-8	http://www.espncricinfo.com/icc-cricket-world-cup-2015/engine/match/656441.html	80	10.7.210.157	21168	1067	www.espncricinfo.com/ci/engine/match/656441.json?view=live;wrappertype=live;zakamai=1
2016-07-07	15:02:43	10.252.192.124	www.espncricinfo.com	Sports/Recreation	OK	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/json;%20charset=UTF-8	http://www.espncricinfo.com/icc-cricket-world-cup-2015/engine/match/656441.html	80	10.7.210.157	21159	1205	www.espncricinfo.com/ci/engine/match/656441.json?view=live;wrappertype=live;zakamai=1
2016-07-07	15:02:53	10.252.192.124	www.espncricinfo.com	Sports/Recreation	OK	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/json;%20charset=UTF-8	http://www.espncricinfo.com/icc-cricket-world-cup-2015/engine/match/656441.html	80	10.7.210.157	21167	1067	www.espncricinfo.com/ci/engine/match/656441.json?view=live;wrappertype=live;zakamai=1
2016-07-07	15:03:03	10.252.192.124	www.espncricinfo.com	Sports/Recreation	OK	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/json;%20charset=UTF-8	http://www.espncricinfo.com/icc-cricket-world-cup-2015/engine/match/656441.html	80	10.7.210.157	21159	1205	www.espncricinfo.com/ci/engine/match/656441.json?view=live;wrappertype=live;zakamai=1
