p_date	p_time	clientip	host	webcat	respcode	reqmethod	useragent	resconttype	referer	uriport	serverip	scbytes	csbytes	fulluri
2016-07-07	12:55:54	10.252.195.115	bn1wns2011218.wns.windows.com	Technology/Internet	OK	CONNECT	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; WnpTrans 6.2.9200.16420)	-	-	443	10.7.210.157	39	273	bn1wns2011218.wns.windows.com
2016-07-07	12:56:18	10.252.195.115	bn1wns2011218.wns.windows.com	Technology/Internet	OK	CONNECT	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; WnpTrans 6.2.9200.16420)	-	-	443	10.7.210.157	39	273	bn1wns2011218.wns.windows.com
2016-07-07	12:56:47	10.252.195.115	bn1wns2011218.wns.windows.com	Technology/Internet	OK	CONNECT	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; WnpTrans 6.2.9200.16420)	-	-	443	10.7.210.157	39	273	bn1wns2011218.wns.windows.com
2016-07-07	12:57:20	10.252.195.115	bn1wns2011218.wns.windows.com	Technology/Internet	OK	CONNECT	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; WnpTrans 6.2.9200.16420)	-	-	443	10.7.210.157	39	273	bn1wns2011218.wns.windows.com
2016-07-07	12:57:58	10.252.195.115	bn1wns2011218.wns.windows.com	Technology/Internet	OK	CONNECT	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; WnpTrans 6.2.9200.16420)	-	-	443	10.7.210.157	39	273	bn1wns2011218.wns.windows.com
2016-07-07	12:58:41	10.252.195.115	bn1wns2011218.wns.windows.com	Technology/Internet	OK	CONNECT	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; WnpTrans 6.2.9200.16420)	-	-	443	10.7.210.157	39	273	bn1wns2011218.wns.windows.com
2016-07-07	12:59:32	10.252.195.115	bn1wns2011218.wns.windows.com	Technology/Internet	OK	CONNECT	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; WnpTrans 6.2.9200.16420)	-	-	443	10.7.210.157	39	273	bn1wns2011218.wns.windows.com
2016-07-07	13:00:30	10.252.195.115	bn1wns2011218.wns.windows.com	Technology/Internet	OK	CONNECT	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; WnpTrans 6.2.9200.16420)	-	-	443	10.7.210.157	39	273	bn1wns2011218.wns.windows.com
2016-07-07	13:02:06	10.252.195.115	bn1wns2011218.wns.windows.com	Technology/Internet	OK	CONNECT	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; WnpTrans 6.2.9200.16420)	-	-	443	10.7.210.157	39	273	bn1wns2011218.wns.windows.com
2016-07-07	13:03:54	10.252.195.115	bn1wns2011218.wns.windows.com	Technology/Internet	OK	CONNECT	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; WnpTrans 6.2.9200.16420)	-	-	443	10.7.210.157	39	273	bn1wns2011218.wns.windows.com
2016-07-07	13:05:41	10.252.195.115	bn1wns2011218.wns.windows.com	Technology/Internet	OK	CONNECT	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; WnpTrans 6.2.9200.16420)	-	-	443	10.7.210.157	39	273	bn1wns2011218.wns.windows.com
2016-07-07	13:08:17	10.252.195.115	bn1wns2011218.wns.windows.com	Technology/Internet	OK	CONNECT	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; WnpTrans 6.2.9200.16420)	-	-	443	10.7.210.157	39	273	bn1wns2011218.wns.windows.com
2016-07-07	13:11:16	10.252.195.115	bn1wns2011218.wns.windows.com	Technology/Internet	OK	CONNECT	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; WnpTrans 6.2.9200.16420)	-	-	443	10.7.210.157	39	273	bn1wns2011218.wns.windows.com
2016-07-07	13:14:37	10.252.195.115	bn1wns2011218.wns.windows.com	Technology/Internet	OK	CONNECT	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; WnpTrans 6.2.9200.16420)	-	-	443	10.7.210.157	39	273	bn1wns2011218.wns.windows.com
2016-07-07	13:18:41	10.252.195.115	bn1wns2011218.wns.windows.com	Technology/Internet	OK	CONNECT	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; WnpTrans 6.2.9200.16420)	-	-	443	10.7.210.157	39	273	bn1wns2011218.wns.windows.com
2016-07-07	13:23:32	10.252.195.115	bn1wns2011218.wns.windows.com	Technology/Internet	OK	CONNECT	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; WnpTrans 6.2.9200.16420)	-	-	443	10.7.210.157	39	273	bn1wns2011218.wns.windows.com
