p_date	p_time	clientip	host	webcat	respcode	reqmethod	useragent	resconttype	referer	uriport	serverip	scbytes	csbytes	fulluri
2016-07-07	06:24:13	10.254.104.131	us.libraryh3lp.com	Chat (IM)/SMS	OK	CONNECT	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	222	us.libraryh3lp.com
2016-07-07	06:25:13	10.254.104.131	us.libraryh3lp.com	Chat (IM)/SMS	OK	CONNECT	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	222	us.libraryh3lp.com
2016-07-07	07:26:44	10.254.104.131	us.libraryh3lp.com	Chat (IM)/SMS	OK	CONNECT	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	222	us.libraryh3lp.com
2016-07-07	07:27:44	10.254.104.131	us.libraryh3lp.com	Chat (IM)/SMS	OK	CONNECT	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	222	us.libraryh3lp.com
2016-07-07	07:30:44	10.254.104.131	us.libraryh3lp.com	Chat (IM)/SMS	OK	CONNECT	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	222	us.libraryh3lp.com
2016-07-07	04:31:11	10.254.104.131	us.libraryh3lp.com	Chat (IM)/SMS	OK	CONNECT	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	222	us.libraryh3lp.com
2016-07-07	04:32:41	10.254.104.131	us.libraryh3lp.com	Chat (IM)/SMS	OK	CONNECT	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	222	us.libraryh3lp.com
2016-07-07	04:33:41	10.254.104.131	us.libraryh3lp.com	Chat (IM)/SMS	OK	CONNECT	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	222	us.libraryh3lp.com
2016-07-07	04:34:41	10.254.104.131	us.libraryh3lp.com	Chat (IM)/SMS	OK	CONNECT	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	222	us.libraryh3lp.com
2016-07-07	04:37:11	10.254.104.131	us.libraryh3lp.com	Chat (IM)/SMS	OK	CONNECT	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	222	us.libraryh3lp.com
2016-07-07	04:38:11	10.254.104.131	us.libraryh3lp.com	Chat (IM)/SMS	OK	CONNECT	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	222	us.libraryh3lp.com
