p_date	p_time	clientip	host	webcat	respcode	reqmethod	useragent	resconttype	referer	uriport	serverip	scbytes	csbytes	fulluri
2016-07-07	12:46:29	10.254.188.100	client.wns.windows.com	Technology/Internet	OK	CONNECT	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; WnpTrans 6.2.9200.16420)	-	-	443	10.7.210.157	39	259	client.wns.windows.com
2016-07-07	12:46:30	10.254.188.100	client.wns.windows.com	Technology/Internet	OK	CONNECT	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; WnpTrans 6.2.9200.16420)	-	-	443	10.7.210.157	39	259	client.wns.windows.com
2016-07-07	12:46:32	10.254.188.100	client.wns.windows.com	Technology/Internet	OK	CONNECT	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; WnpTrans 6.2.9200.16420)	-	-	443	10.7.210.157	39	259	client.wns.windows.com
2016-07-07	12:46:33	10.254.188.100	client.wns.windows.com	Technology/Internet	OK	CONNECT	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; WnpTrans 6.2.9200.16420)	-	-	443	10.7.210.157	39	259	client.wns.windows.com
2016-07-07	12:46:34	10.254.188.100	client.wns.windows.com	Technology/Internet	OK	CONNECT	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; WnpTrans 6.2.9200.16420)	-	-	443	10.7.210.157	39	259	client.wns.windows.com
2016-07-07	12:46:35	10.254.188.100	client.wns.windows.com	Technology/Internet	OK	CONNECT	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; WnpTrans 6.2.9200.16420)	-	-	443	10.7.210.157	39	259	client.wns.windows.com
2016-07-07	12:46:36	10.254.188.100	client.wns.windows.com	Technology/Internet	OK	CONNECT	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; WnpTrans 6.2.9200.16420)	-	-	443	10.7.210.157	39	259	client.wns.windows.com
2016-07-07	12:46:37	10.254.188.100	client.wns.windows.com	Technology/Internet	OK	CONNECT	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; WnpTrans 6.2.9200.16420)	-	-	443	10.7.210.157	39	259	client.wns.windows.com
2016-07-07	12:46:38	10.254.188.100	client.wns.windows.com	Technology/Internet	OK	CONNECT	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; WnpTrans 6.2.9200.16420)	-	-	443	10.7.210.157	39	259	client.wns.windows.com
2016-07-07	12:46:39	10.254.188.100	client.wns.windows.com	Technology/Internet	OK	CONNECT	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; WnpTrans 6.2.9200.16420)	-	-	443	10.7.210.157	39	259	client.wns.windows.com
