p_date	p_time	clientip	host	webcat	respcode	reqmethod	useragent	resconttype	referer	uriport	serverip	scbytes	csbytes	fulluri
2016-07-07	12:55:50	10.254.189.203	turnerhd-f.akamaihd.net	TV/Video Streams;Content Servers	OK	GET	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	video/abst	http://www.cnn.com/?refresh=1	80	10.7.210.157	644	596	turnerhd-f.akamaihd.net/z/tvecnn_1@135347/tiny_c26ea6df02825aa3-p.bootstrap?g=LKBSLAFTKGUI&hdcore=3.1.0&plugin=aasp-3.1.0.43.124
2016-07-07	12:55:56	10.254.189.203	turnerhd-f.akamaihd.net	TV/Video Streams;Content Servers	OK	GET	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	video/abst	http://www.cnn.com/?refresh=1	80	10.7.210.157	644	596	turnerhd-f.akamaihd.net/z/tvecnn_1@135347/tiny_c26ea6df02825aa3-p.bootstrap?g=LKBSLAFTKGUI&hdcore=3.1.0&plugin=aasp-3.1.0.43.124
2016-07-07	12:56:08	10.254.189.203	turnerhd-f.akamaihd.net	TV/Video Streams;Content Servers	OK	GET	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	video/abst	http://www.cnn.com/?refresh=1	80	10.7.210.157	644	596	turnerhd-f.akamaihd.net/z/tvecnn_1@135347/tiny_c26ea6df02825aa3-p.bootstrap?g=LKBSLAFTKGUI&hdcore=3.1.0&plugin=aasp-3.1.0.43.124
2016-07-07	12:56:20	10.254.189.203	turnerhd-f.akamaihd.net	TV/Video Streams;Content Servers	OK	GET	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	video/abst	http://www.cnn.com/?refresh=1	80	10.7.210.157	644	596	turnerhd-f.akamaihd.net/z/tvecnn_1@135347/tiny_c26ea6df02825aa3-p.bootstrap?g=LKBSLAFTKGUI&hdcore=3.1.0&plugin=aasp-3.1.0.43.124
2016-07-07	12:56:26	10.254.189.203	turnerhd-f.akamaihd.net	TV/Video Streams;Content Servers	OK	GET	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	video/abst	http://www.cnn.com/?refresh=1	80	10.7.210.157	644	596	turnerhd-f.akamaihd.net/z/tvecnn_1@135347/tiny_c26ea6df02825aa3-p.bootstrap?g=LKBSLAFTKGUI&hdcore=3.1.0&plugin=aasp-3.1.0.43.124
2016-07-07	12:56:32	10.254.189.203	turnerhd-f.akamaihd.net	TV/Video Streams;Content Servers	OK	GET	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	video/abst	http://www.cnn.com/?refresh=1	80	10.7.210.157	644	596	turnerhd-f.akamaihd.net/z/tvecnn_1@135347/tiny_c26ea6df02825aa3-p.bootstrap?g=LKBSLAFTKGUI&hdcore=3.1.0&plugin=aasp-3.1.0.43.124
2016-07-07	12:56:38	10.254.189.203	turnerhd-f.akamaihd.net	TV/Video Streams;Content Servers	OK	GET	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	video/abst	http://www.cnn.com/?refresh=1	80	10.7.210.157	644	596	turnerhd-f.akamaihd.net/z/tvecnn_1@135347/tiny_c26ea6df02825aa3-p.bootstrap?g=LKBSLAFTKGUI&hdcore=3.1.0&plugin=aasp-3.1.0.43.124
2016-07-07	12:56:44	10.254.189.203	turnerhd-f.akamaihd.net	TV/Video Streams;Content Servers	OK	GET	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	video/abst	http://www.cnn.com/?refresh=1	80	10.7.210.157	644	596	turnerhd-f.akamaihd.net/z/tvecnn_1@135347/tiny_c26ea6df02825aa3-p.bootstrap?g=LKBSLAFTKGUI&hdcore=3.1.0&plugin=aasp-3.1.0.43.124
2016-07-07	12:56:50	10.254.189.203	turnerhd-f.akamaihd.net	TV/Video Streams;Content Servers	OK	GET	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	video/abst	http://www.cnn.com/?refresh=1	80	10.7.210.157	644	596	turnerhd-f.akamaihd.net/z/tvecnn_1@135347/tiny_c26ea6df02825aa3-p.bootstrap?g=LKBSLAFTKGUI&hdcore=3.1.0&plugin=aasp-3.1.0.43.124
2016-07-07	12:56:57	10.254.189.203	turnerhd-f.akamaihd.net	TV/Video Streams;Content Servers	OK	GET	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	video/abst	http://www.cnn.com/?refresh=1	80	10.7.210.157	644	596	turnerhd-f.akamaihd.net/z/tvecnn_1@135347/tiny_c26ea6df02825aa3-p.bootstrap?g=LKBSLAFTKGUI&hdcore=3.1.0&plugin=aasp-3.1.0.43.124
2016-07-07	12:57:09	10.254.189.203	turnerhd-f.akamaihd.net	TV/Video Streams;Content Servers	OK	GET	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	video/abst	http://www.cnn.com/?refresh=1	80	10.7.210.157	644	596	turnerhd-f.akamaihd.net/z/tvecnn_1@135347/tiny_c26ea6df02825aa3-p.bootstrap?g=LKBSLAFTKGUI&hdcore=3.1.0&plugin=aasp-3.1.0.43.124
2016-07-07	12:57:15	10.254.189.203	turnerhd-f.akamaihd.net	TV/Video Streams;Content Servers	OK	GET	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	video/abst	http://www.cnn.com/?refresh=1	80	10.7.210.157	644	596	turnerhd-f.akamaihd.net/z/tvecnn_1@135347/tiny_c26ea6df02825aa3-p.bootstrap?g=LKBSLAFTKGUI&hdcore=3.1.0&plugin=aasp-3.1.0.43.124
2016-07-07	12:57:21	10.254.189.203	turnerhd-f.akamaihd.net	TV/Video Streams;Content Servers	OK	GET	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	video/abst	http://www.cnn.com/?refresh=1	80	10.7.210.157	644	596	turnerhd-f.akamaihd.net/z/tvecnn_1@135347/tiny_c26ea6df02825aa3-p.bootstrap?g=LKBSLAFTKGUI&hdcore=3.1.0&plugin=aasp-3.1.0.43.124
2016-07-07	12:57:27	10.254.189.203	turnerhd-f.akamaihd.net	TV/Video Streams;Content Servers	OK	GET	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	video/abst	http://www.cnn.com/?refresh=1	80	10.7.210.157	644	596	turnerhd-f.akamaihd.net/z/tvecnn_1@135347/tiny_c26ea6df02825aa3-p.bootstrap?g=LKBSLAFTKGUI&hdcore=3.1.0&plugin=aasp-3.1.0.43.124
2016-07-07	12:57:33	10.254.189.203	turnerhd-f.akamaihd.net	TV/Video Streams;Content Servers	OK	GET	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	video/abst	http://www.cnn.com/?refresh=1	80	10.7.210.157	644	596	turnerhd-f.akamaihd.net/z/tvecnn_1@135347/tiny_c26ea6df02825aa3-p.bootstrap?g=LKBSLAFTKGUI&hdcore=3.1.0&plugin=aasp-3.1.0.43.124
2016-07-07	12:57:39	10.254.189.203	turnerhd-f.akamaihd.net	TV/Video Streams;Content Servers	OK	GET	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	video/abst	http://www.cnn.com/?refresh=1	80	10.7.210.157	644	596	turnerhd-f.akamaihd.net/z/tvecnn_1@135347/tiny_c26ea6df02825aa3-p.bootstrap?g=LKBSLAFTKGUI&hdcore=3.1.0&plugin=aasp-3.1.0.43.124
