p_date	p_time	clientip	host	webcat	respcode	reqmethod	useragent	resconttype	referer	uriport	serverip	scbytes	csbytes	fulluri
2016-07-07	20:22:40	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	14:58:07	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	03:57:32	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	19:42:15	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	04:56:25	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	71	xml.syncplicity.com
2016-07-07	18:40:56	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	18:41:18	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	03:29:07	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	03:29:08	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	71	xml.syncplicity.com
2016-07-07	06:51:29	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	06:53:51	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	71	xml.syncplicity.com
2016-07-07	18:20:58	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	11:15:02	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	20:32:08	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	19:01:35	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	15:15:23	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	23:04:20	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	07:32:04	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	08:52:41	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	08:53:02	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	71	xml.syncplicity.com
2016-07-07	12:36:01	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	16:39:36	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	22:03:59	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	19:10:44	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	13:36:57	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	15:18:28	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	11:20:07	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	11:49:15	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	11:55:41	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	02:28:14	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	02:58:40	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	06:31:14	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	20:38:55	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	23:07:03	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	71	xml.syncplicity.com
2016-07-07	16:42:39	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	20:10:09	10.254.3.133	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
