p_date	p_time	clientip	host	webcat	respcode	reqmethod	useragent	resconttype	referer	uriport	serverip	scbytes	csbytes	fulluri
2016-07-07	12:51:19	10.254.52.247	www.evernote.com	File Storage/Sharing;Office/Business Applications	OK	CONNECT	Evernote Windows/274507; Windows/6.3.9600;	-	-	443	10.7.210.157	39	192	www.evernote.com
2016-07-07	06:24:55	10.254.52.247	www.evernote.com	File Storage/Sharing;Office/Business Applications	OK	CONNECT	Evernote Windows/274507; Windows/6.3.9600;	-	-	443	10.7.210.157	39	192	www.evernote.com
2016-07-07	17:02:21	10.254.52.247	www.evernote.com	File Storage/Sharing;Office/Business Applications	OK	CONNECT	Evernote Windows/274507; Windows/6.3.9600;	-	-	443	10.7.210.157	39	192	www.evernote.com
2016-07-07	17:07:24	10.254.52.247	www.evernote.com	File Storage/Sharing;Office/Business Applications	OK	CONNECT	Evernote Windows/274507; Windows/6.3.9600;	-	-	443	10.7.210.157	39	192	www.evernote.com
2016-07-07	15:52:06	10.254.52.247	www.evernote.com	File Storage/Sharing;Office/Business Applications	OK	CONNECT	Evernote Windows/274507; Windows/6.3.9600;	-	-	443	10.7.210.157	39	192	www.evernote.com
2016-07-07	04:34:28	10.254.52.247	www.evernote.com	File Storage/Sharing;Office/Business Applications	OK	CONNECT	Evernote Windows/274507; Windows/6.3.9600;	-	-	443	10.7.210.157	39	192	www.evernote.com
2016-07-07	04:39:30	10.254.52.247	www.evernote.com	File Storage/Sharing;Office/Business Applications	OK	CONNECT	Evernote Windows/274507; Windows/6.3.9600;	-	-	443	10.7.210.157	39	192	www.evernote.com
2016-07-07	03:29:11	10.254.52.247	www.evernote.com	File Storage/Sharing;Office/Business Applications	OK	CONNECT	Evernote Windows/274507; Windows/6.3.9600;	-	-	443	10.7.210.157	39	192	www.evernote.com
2016-07-07	03:34:12	10.254.52.247	www.evernote.com	File Storage/Sharing;Office/Business Applications	OK	CONNECT	Evernote Windows/274507; Windows/6.3.9600;	-	-	443	10.7.210.157	39	192	www.evernote.com
2016-07-07	14:56:50	10.254.52.247	www.evernote.com	File Storage/Sharing;Office/Business Applications	OK	CONNECT	Evernote Windows/274507; Windows/6.3.9600;	-	-	443	10.7.210.157	39	192	www.evernote.com
2016-07-07	15:01:53	10.254.52.247	www.evernote.com	File Storage/Sharing;Office/Business Applications	OK	CONNECT	Evernote Windows/274507; Windows/6.3.9600;	-	-	443	10.7.210.157	39	192	www.evernote.com
2016-07-07	15:06:54	10.254.52.247	www.evernote.com	File Storage/Sharing;Office/Business Applications	OK	CONNECT	Evernote Windows/274507; Windows/6.3.9600;	-	-	443	10.7.210.157	39	192	www.evernote.com
2016-07-07	07:25:06	10.254.52.247	www.evernote.com	File Storage/Sharing;Office/Business Applications	OK	CONNECT	Evernote Windows/274507; Windows/6.3.9600;	-	-	443	10.7.210.157	39	192	www.evernote.com
2016-07-07	07:30:07	10.254.52.247	www.evernote.com	File Storage/Sharing;Office/Business Applications	OK	CONNECT	Evernote Windows/274507; Windows/6.3.9600;	-	-	443	10.7.210.157	39	192	www.evernote.com
2016-07-07	06:55:02	10.254.52.247	www.evernote.com	File Storage/Sharing;Office/Business Applications	OK	CONNECT	Evernote Windows/274507; Windows/6.3.9600;	-	-	443	10.7.210.157	39	192	www.evernote.com
2016-07-07	08:40:26	10.254.52.247	www.evernote.com	File Storage/Sharing;Office/Business Applications	OK	CONNECT	Evernote Windows/274507; Windows/6.3.9600;	-	-	443	10.7.210.157	39	192	www.evernote.com
2016-07-07	17:57:33	10.254.52.247	www.evernote.com	File Storage/Sharing;Office/Business Applications	OK	CONNECT	Evernote Windows/274507; Windows/6.3.9600;	-	-	443	10.7.210.157	39	192	www.evernote.com
2016-07-07	08:30:24	10.254.52.247	www.evernote.com	File Storage/Sharing;Office/Business Applications	OK	CONNECT	Evernote Windows/274507; Windows/6.3.9600;	-	-	443	10.7.210.157	39	192	www.evernote.com
2016-07-07	08:35:25	10.254.52.247	www.evernote.com	File Storage/Sharing;Office/Business Applications	OK	CONNECT	Evernote Windows/274507; Windows/6.3.9600;	-	-	443	10.7.210.157	39	192	www.evernote.com
2016-07-07	18:12:33	10.254.52.247	www.evernote.com	File Storage/Sharing;Office/Business Applications	OK	CONNECT	Evernote Windows/274507; Windows/6.3.9600;	-	-	443	10.7.210.157	39	192	www.evernote.com
2016-07-07	00:28:33	10.254.52.247	www.evernote.com	File Storage/Sharing;Office/Business Applications	OK	CONNECT	Evernote Windows/274507; Windows/6.3.9600;	-	-	443	10.7.210.157	39	192	www.evernote.com
2016-07-07	04:44:31	10.254.52.247	www.evernote.com	File Storage/Sharing;Office/Business Applications	OK	CONNECT	Evernote Windows/274507; Windows/6.3.9600;	-	-	443	10.7.210.157	39	192	www.evernote.com
2016-07-07	02:44:02	10.254.52.247	www.evernote.com	File Storage/Sharing;Office/Business Applications	OK	CONNECT	Evernote Windows/274507; Windows/6.3.9600;	-	-	443	10.7.210.157	39	192	www.evernote.com
2016-07-07	17:12:25	10.254.52.247	www.evernote.com	File Storage/Sharing;Office/Business Applications	OK	CONNECT	Evernote Windows/274507; Windows/6.3.9600;	-	-	443	10.7.210.157	39	192	www.evernote.com
2016-07-07	04:59:37	10.254.52.247	www.evernote.com	File Storage/Sharing;Office/Business Applications	OK	CONNECT	Evernote Windows/274507; Windows/6.3.9600;	-	-	443	10.7.210.157	39	192	www.evernote.com
