p_date	p_time	clientip	host	webcat	respcode	reqmethod	useragent	resconttype	referer	uriport	serverip	scbytes	csbytes	fulluri
2016-07-07	14:02:43	10.254.72.108	pagead2.googlesyndication.com	Web Ads/Analytics	Not Modified	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	http://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-2613565434640259&output=html&h=60&slotname=1952880675&adk=3002225448&w=468&ea=0&flash=16.0.0&url=http%3A%2F%2Fwww.worldnow.com%2F&dt=1425218562263&bpp=76&bdt=3120&shv=r20150225&cbv=r20150224&saldr=sa&correlator=3755034165249&frm=23&ga_vid=2029161141.1411747714&ga_sid=1425218562&ga_hid=1429200454&ga_fc=0&u_tz=-480&u_his=1&u_java=1&u_h=1080&u_w=1920&u_ah=1032&u_aw=1920&u_cd=24&u_nplug=20&u_nmime=93&dff=times%20new%20roman&dfs=16&adx=561&ady=608&biw=1899&bih=919&isw=468&ish=60&ifk=262258735&eid=317150304&oid=3&ref=http%3A%2F%2Fwww.kptv.com%2F&loc=http%3A%2F%2Fwww.kptv.com%2F&rx=0&eae=2&fc=24&brdim=0%2C0%2C0%2C0%2C1920%2C0%2C1920%2C1032%2C468%2C60&vis=2&rsz=0%7C0%7Co%7C&abl=CS&ppjl=f&fu=4&bc=1&ifi=1&dtd=194	80	10.7.210.157	286	1359	pagead2.googlesyndication.com/pagead/images/google-logo.png
2016-07-07	19:04:42	10.254.72.108	pagead2.googlesyndication.com	Web Ads/Analytics	Not Modified	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	http://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-2613565434640259&output=html&h=60&slotname=1952880675&adk=3002225448&w=468&ea=0&flash=16.0.0&url=http%3A%2F%2Fwww.worldnow.com%2F&dt=1425236680283&bpp=101&bdt=4965&shv=r20150225&cbv=r20150224&saldr=sa&correlator=4070104188929&frm=23&ga_vid=2029161141.1411747714&ga_sid=1425236680&ga_hid=1088297516&ga_fc=0&u_tz=-480&u_his=1&u_java=1&u_h=1080&u_w=1920&u_ah=1032&u_aw=1920&u_cd=24&u_nplug=20&u_nmime=93&dff=times%20new%20roman&dfs=16&adx=561&ady=594&biw=1899&bih=919&isw=468&ish=60&ifk=262258735&eid=317150304&oid=3&ref=http%3A%2F%2Fwww.kptv.com%2F&loc=http%3A%2F%2Fwww.kptv.com%2F&rx=0&eae=2&fc=24&brdim=0%2C0%2C0%2C0%2C1920%2C0%2C1920%2C1032%2C468%2C60&vis=2&rsz=0%7C0%7Co%7C&abl=CS&ppjl=f&fu=4&bc=1&ifi=1&dtd=206	80	10.7.210.157	286	1360	pagead2.googlesyndication.com/pagead/images/google-logo.png
2016-07-07	17:31:54	10.254.72.108	pagead2.googlesyndication.com	Web Ads/Analytics	Not Modified	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	http://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-2613565434640259&output=html&h=60&slotname=1952880675&adk=3002225448&w=468&ea=0&flash=16.0.0&url=http%3A%2F%2Fwww.worldnow.com%2F&dt=1425231112768&bpp=68&bdt=3119&shv=r20150225&cbv=r20150224&saldr=sa&correlator=4396354015233&frm=23&ga_vid=2029161141.1411747714&ga_sid=1425231113&ga_hid=351265784&ga_fc=0&u_tz=-480&u_his=1&u_java=1&u_h=1080&u_w=1920&u_ah=1032&u_aw=1920&u_cd=24&u_nplug=20&u_nmime=93&dff=times%20new%20roman&dfs=16&adx=561&ady=608&biw=1899&bih=919&isw=468&ish=60&ifk=262258735&eid=575144603%2C317150304&oid=3&ref=http%3A%2F%2Fwww.kptv.com%2F&loc=http%3A%2F%2Fwww.kptv.com%2F&rx=0&eae=2&fc=24&brdim=0%2C0%2C0%2C0%2C1920%2C0%2C1920%2C1032%2C468%2C60&vis=2&rsz=0%7C0%7Co%7C&abl=CS&ppjl=f&fu=4&bc=1&ifi=1&dtd=184	80	10.7.210.157	286	1370	pagead2.googlesyndication.com/pagead/images/google-logo.png
2016-07-07	17:31:54	10.254.72.108	pagead2.googlesyndication.com	Web Ads/Analytics	Not Modified	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	http://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-2613565434640259&output=html&h=60&slotname=1952880675&adk=3002225448&w=468&ea=0&flash=16.0.0&url=http%3A%2F%2Fwww.worldnow.com%2F&dt=1425231112768&bpp=68&bdt=3119&shv=r20150225&cbv=r20150224&saldr=sa&correlator=4396354015233&frm=23&ga_vid=2029161141.1411747714&ga_sid=1425231113&ga_hid=351265784&ga_fc=0&u_tz=-480&u_his=1&u_java=1&u_h=1080&u_w=1920&u_ah=1032&u_aw=1920&u_cd=24&u_nplug=20&u_nmime=93&dff=times%20new%20roman&dfs=16&adx=561&ady=608&biw=1899&bih=919&isw=468&ish=60&ifk=262258735&eid=575144603%2C317150304&oid=3&ref=http%3A%2F%2Fwww.kptv.com%2F&loc=http%3A%2F%2Fwww.kptv.com%2F&rx=0&eae=2&fc=24&brdim=0%2C0%2C0%2C0%2C1920%2C0%2C1920%2C1032%2C468%2C60&vis=2&rsz=0%7C0%7Co%7C&abl=CS&ppjl=f&fu=4&bc=1&ifi=1&dtd=184	80	10.7.210.157	286	1370	pagead2.googlesyndication.com/pagead/images/google-logo.png
2016-07-07	17:11:26	10.254.72.108	pagead2.googlesyndication.com	Web Ads/Analytics	Not Modified	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	http://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-2613565434640259&output=html&h=60&slotname=1952880675&adk=3002225448&w=468&ea=0&flash=16.0.0&url=http%3A%2F%2Fwww.worldnow.com%2F&dt=1425229883961&bpp=79&bdt=4473&shv=r20150225&cbv=r20150224&saldr=sa&correlator=7463514429441&frm=23&ga_vid=2029161141.1411747714&ga_sid=1425229884&ga_hid=1500287189&ga_fc=0&u_tz=-480&u_his=1&u_java=1&u_h=1080&u_w=1920&u_ah=1032&u_aw=1920&u_cd=24&u_nplug=20&u_nmime=93&dff=times%20new%20roman&dfs=16&adx=561&ady=608&biw=1899&bih=919&isw=468&ish=60&ifk=262258735&eid=317150304%2C828064100&oid=3&ref=http%3A%2F%2Fwww.kptv.com%2F&loc=http%3A%2F%2Fwww.kptv.com%2F&rx=0&eae=2&fc=24&brdim=0%2C0%2C0%2C0%2C1920%2C0%2C1920%2C1032%2C468%2C60&vis=2&rsz=0%7C0%7Co%7C&abl=CS&ppjl=u&srr=1&fu=4&bc=1&ifi=1&dtd=373	80	10.7.210.157	286	1377	pagead2.googlesyndication.com/pagead/images/google-logo.png
2016-07-07	06:59:42	10.254.72.108	pagead2.googlesyndication.com	Web Ads/Analytics	Not Modified	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	http://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-2613565434640259&output=html&h=60&slotname=1952880675&adk=3002225448&w=468&ea=0&flash=16.0.0&url=http%3A%2F%2Fwww.worldnow.com%2F&dt=1425193180160&bpp=94&bdt=4169&shv=r20150225&cbv=r20150224&saldr=sa&correlator=3815913762817&frm=23&ga_vid=2029161141.1411747714&ga_sid=1425193181&ga_hid=779734255&ga_fc=0&u_tz=-480&u_his=1&u_java=1&u_h=1080&u_w=1920&u_ah=1032&u_aw=1920&u_cd=24&u_nplug=20&u_nmime=93&dff=times%20new%20roman&dfs=16&adx=561&ady=552&biw=1899&bih=919&isw=468&ish=60&ifk=262258735&eid=575144603%2C317150304&oid=3&ref=http%3A%2F%2Fwww.kptv.com%2F&loc=http%3A%2F%2Fwww.kptv.com%2F&rx=0&eae=2&fc=24&brdim=0%2C0%2C0%2C0%2C1920%2C0%2C1920%2C1032%2C468%2C60&vis=2&rsz=0%7C0%7Co%7C&abl=CS&ppjl=f&fu=4&bc=1&ifi=1&dtd=463	80	10.7.210.157	286	1370	pagead2.googlesyndication.com/pagead/images/google-logo.png
2016-07-07	00:19:30	10.254.72.108	pagead2.googlesyndication.com	Web Ads/Analytics	Not Modified	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	http://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-2613565434640259&output=html&h=60&slotname=1952880675&adk=3002225448&w=468&ea=0&flash=16.0.0&url=http%3A%2F%2Fwww.worldnow.com%2F&dt=1425169167758&bpp=62&bdt=4912&shv=r20150225&cbv=r20150224&saldr=sa&correlator=1471867410433&frm=23&ga_vid=2029161141.1411747714&ga_sid=1425169168&ga_hid=1756112324&ga_fc=0&u_tz=-480&u_his=1&u_java=1&u_h=1080&u_w=1920&u_ah=1032&u_aw=1920&u_cd=24&u_nplug=20&u_nmime=93&dff=times%20new%20roman&dfs=16&adx=561&ady=592&biw=1899&bih=971&isw=468&ish=60&ifk=262258735&eid=317150304&oid=3&ref=http%3A%2F%2Fwww.kptv.com%2F&loc=http%3A%2F%2Fwww.kptv.com%2F&rx=0&eae=2&fc=24&brdim=0%2C0%2C0%2C0%2C1920%2C0%2C1920%2C1032%2C468%2C60&vis=2&rsz=0%7C0%7Co%7C&abl=CS&ppjl=f&fu=4&bc=1&ifi=1&dtd=291	80	10.7.210.157	286	1359	pagead2.googlesyndication.com/pagead/images/google-logo.png
2016-07-07	01:00:40	10.254.72.108	pagead2.googlesyndication.com	Web Ads/Analytics	Not Modified	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	http://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-2613565434640259&output=html&h=60&slotname=1952880675&adk=3002225448&w=468&ea=0&flash=16.0.0&url=http%3A%2F%2Fwww.worldnow.com%2F&dt=1425171639242&bpp=52&bdt=2877&shv=r20150225&cbv=r20150224&saldr=sa&correlator=7139870455809&frm=23&ga_vid=2029161141.1411747714&ga_sid=1425171639&ga_hid=86538681&ga_fc=0&u_tz=-480&u_his=1&u_java=1&u_h=1080&u_w=1920&u_ah=1032&u_aw=1920&u_cd=24&u_nplug=20&u_nmime=93&dff=times%20new%20roman&dfs=16&adx=561&ady=608&biw=1899&bih=971&isw=468&ish=60&ifk=262258735&eid=575144603%2C317150304&oid=3&ref=http%3A%2F%2Fwww.kptv.com%2F&loc=http%3A%2F%2Fwww.kptv.com%2F&rx=0&eae=2&fc=24&brdim=0%2C0%2C0%2C0%2C1920%2C0%2C1920%2C1032%2C468%2C60&vis=2&rsz=0%7C0%7Co%7C&abl=CS&ppjl=u&srr=1&fu=4&bc=1&ifi=1&dtd=184	80	10.7.210.157	284	1375	pagead2.googlesyndication.com/pagead/images/google-logo.png
2016-07-07	04:22:29	10.254.72.108	pagead2.googlesyndication.com	Web Ads/Analytics	Not Modified	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	http://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-2613565434640259&output=html&h=60&slotname=1952880675&adk=3002225448&w=468&ea=0&flash=16.0.0&url=http%3A%2F%2Fwww.worldnow.com%2F&dt=1425183743968&bpp=57&bdt=6223&shv=r20150225&cbv=r20150224&saldr=sa&correlator=7125288929281&frm=23&ga_vid=2029161141.1411747714&ga_sid=1425183744&ga_hid=164041882&ga_fc=0&u_tz=-480&u_his=1&u_java=1&u_h=1080&u_w=1920&u_ah=1032&u_aw=1920&u_cd=24&u_nplug=20&u_nmime=93&dff=times%20new%20roman&dfs=16&adx=561&ady=578&biw=1899&bih=919&isw=468&ish=60&ifk=262258735&eid=317150304&oid=3&ref=http%3A%2F%2Fwww.kptv.com%2F&loc=http%3A%2F%2Fwww.kptv.com%2F&rx=0&eae=2&fc=24&brdim=0%2C0%2C0%2C0%2C1920%2C0%2C1920%2C1032%2C468%2C60&vis=2&rsz=0%7C0%7Co%7C&abl=CS&ppjl=f&fu=4&bc=1&ifi=1&dtd=296	80	10.7.210.157	286	1358	pagead2.googlesyndication.com/pagead/images/google-logo.png
2016-07-07	11:33:42	10.254.72.108	pagead2.googlesyndication.com	Web Ads/Analytics	Not Modified	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	http://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-2613565434640259&output=html&h=60&slotname=1952880675&adk=3002225448&w=468&ea=0&flash=16.0.0&url=http%3A%2F%2Fwww.worldnow.com%2F&dt=1425209620968&bpp=60&bdt=3352&shv=r20150225&cbv=r20150224&saldr=sa&correlator=3666564587521&frm=23&ga_vid=2029161141.1411747714&ga_sid=1425209621&ga_hid=2083648251&ga_fc=0&u_tz=-480&u_his=1&u_java=1&u_h=1080&u_w=1920&u_ah=1032&u_aw=1920&u_cd=24&u_nplug=20&u_nmime=93&dff=times%20new%20roman&dfs=16&adx=561&ady=580&biw=1899&bih=919&isw=468&ish=60&ifk=262258735&eid=575144603%2C317150304&oid=3&ref=http%3A%2F%2Fwww.kptv.com%2F&loc=http%3A%2F%2Fwww.kptv.com%2F&rx=0&eae=2&fc=24&brdim=0%2C0%2C0%2C0%2C1920%2C0%2C1920%2C1032%2C468%2C60&vis=2&rsz=0%7C0%7Co%7C&abl=CS&ppjl=u&srr=1&fu=4&bc=1&ifi=1&dtd=214	80	10.7.210.157	286	1377	pagead2.googlesyndication.com/pagead/images/google-logo.png
