p_date	p_time	clientip	host	webcat	respcode	reqmethod	useragent	resconttype	referer	uriport	serverip	scbytes	csbytes	fulluri
2016-07-07	17:05:06	10.254.79.213	www.huffingtonpost.com	News/Media	OK	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	text/html	http://www.huffingtonpost.com/	80	10.7.210.157	600	2007	www.huffingtonpost.com/include/mod_times.php?action=content
2016-07-07	08:40:56	10.254.79.213	www.huffingtonpost.com	News/Media	OK	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	text/html	http://www.huffingtonpost.com/	80	10.7.210.157	600	2007	www.huffingtonpost.com/include/mod_times.php?action=content
2016-07-07	16:32:15	10.254.79.213	www.huffingtonpost.com	News/Media	OK	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	text/html	http://www.huffingtonpost.com/	80	10.7.210.157	601	2007	www.huffingtonpost.com/include/mod_times.php?action=content
2016-07-07	13:25:49	10.254.79.213	www.huffingtonpost.com	News/Media	OK	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	text/html	http://www.huffingtonpost.com/	80	10.7.210.157	602	2007	www.huffingtonpost.com/include/mod_times.php?action=content
2016-07-07	02:51:59	10.254.79.213	www.huffingtonpost.com	News/Media	OK	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	text/html	http://www.huffingtonpost.com/	80	10.7.210.157	600	2007	www.huffingtonpost.com/include/mod_times.php?action=content
2016-07-07	03:24:07	10.254.79.213	www.huffingtonpost.com	News/Media	OK	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	text/html	http://www.huffingtonpost.com/	80	10.7.210.157	600	2007	www.huffingtonpost.com/include/mod_times.php?action=content
2016-07-07	03:42:53	10.254.79.213	www.huffingtonpost.com	News/Media	OK	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	text/html	http://www.huffingtonpost.com/	80	10.7.210.157	600	2007	www.huffingtonpost.com/include/mod_times.php?action=content
2016-07-07	22:37:57	10.254.79.213	www.huffingtonpost.com	News/Media	OK	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	text/html	http://www.huffingtonpost.com/	80	10.7.210.157	600	2007	www.huffingtonpost.com/include/mod_times.php?action=content
2016-07-07	02:43:16	10.254.79.213	www.huffingtonpost.com	News/Media	OK	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	text/html	http://www.huffingtonpost.com/	80	10.7.210.157	600	2007	www.huffingtonpost.com/include/mod_times.php?action=content
2016-07-07	15:11:44	10.254.79.213	www.huffingtonpost.com	News/Media	OK	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	text/html	http://www.huffingtonpost.com/	80	10.7.210.157	602	2007	www.huffingtonpost.com/include/mod_times.php?action=content
2016-07-07	19:45:05	10.254.79.213	www.huffingtonpost.com	News/Media	OK	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	text/html	http://www.huffingtonpost.com/	80	10.7.210.157	601	2007	www.huffingtonpost.com/include/mod_times.php?action=content
2016-07-07	08:32:52	10.254.79.213	www.huffingtonpost.com	News/Media	OK	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	text/html	http://www.huffingtonpost.com/	80	10.7.210.157	600	2007	www.huffingtonpost.com/include/mod_times.php?action=content
