p_date	p_time	clientip	host	webcat	respcode	reqmethod	useragent	resconttype	referer	uriport	serverip	scbytes	csbytes	fulluri
2016-07-07	07:22:14	10.27.128.86	58.211.179.124	none	IM Used	LIST	-	-	-	21	10.7.210.157	126	0	58.211.179.124/mpoutgo
2016-07-07	07:25:12	10.27.128.86	58.211.179.124	none	IM Used	LIST	-	-	-	21	10.7.210.157	126	0	58.211.179.124/mpoutgo
2016-07-07	07:28:30	10.27.128.86	58.211.179.124	none	IM Used	LIST	-	-	-	21	10.7.210.157	126	0	58.211.179.124/mpoutgo
2016-07-07	07:30:46	10.27.128.86	58.211.179.124	none	IM Used	LIST	-	-	-	21	10.7.210.157	126	0	58.211.179.124/mpoutgo
2016-07-07	04:31:42	10.27.128.86	58.211.179.124	none	IM Used	LIST	-	-	-	21	10.7.210.157	126	0	58.211.179.124/mpoutgo
2016-07-07	04:34:11	10.27.128.86	58.211.179.124	none	IM Used	LIST	-	-	-	21	10.7.210.157	126	0	58.211.179.124/mpoutgo
2016-07-07	04:37:13	10.27.128.86	58.211.179.124	none	IM Used	LIST	-	-	-	21	10.7.210.157	126	0	58.211.179.124/mpoutgo
2016-07-07	20:21:54	10.27.128.86	58.211.179.124	none	IM Used	LIST	-	-	-	21	10.7.210.157	126	0	58.211.179.124/mpoutgo
2016-07-07	20:24:54	10.27.128.86	58.211.179.124	none	IM Used	LIST	-	-	-	21	10.7.210.157	126	0	58.211.179.124/mpoutgo
2016-07-07	10:58:19	10.27.128.86	58.211.179.124	none	IM Used	LIST	-	-	-	21	10.7.210.157	126	0	58.211.179.124/mpoutgo
2016-07-07	11:00:45	10.27.128.86	58.211.179.124	none	IM Used	LIST	-	-	-	21	10.7.210.157	126	0	58.211.179.124/mpoutgo
2016-07-07	11:03:19	10.27.128.86	58.211.179.124	none	IM Used	LIST	-	-	-	21	10.7.210.157	126	0	58.211.179.124/mpoutgo
2016-07-07	11:06:19	10.27.128.86	58.211.179.124	none	IM Used	LIST	-	-	-	21	10.7.210.157	126	0	58.211.179.124/mpoutgo
2016-07-07	12:48:26	10.27.128.86	58.211.179.124	none	IM Used	LIST	-	-	-	21	10.7.210.157	126	0	58.211.179.124/mpoutgo
2016-07-07	12:51:21	10.27.128.86	58.211.179.124	none	IM Used	LIST	-	-	-	21	10.7.210.157	126	0	58.211.179.124/mpoutgo
2016-07-07	12:53:50	10.27.128.86	58.211.179.124	none	IM Used	LIST	-	-	-	21	10.7.210.157	126	0	58.211.179.124/mpoutgo
2016-07-07	13:57:26	10.27.128.86	58.211.179.124	none	IM Used	LIST	-	-	-	21	10.7.210.157	126	0	58.211.179.124/mpoutgo
2016-07-07	11:09:19	10.27.128.86	58.211.179.124	none	IM Used	LIST	-	-	-	21	10.7.210.157	126	0	58.211.179.124/mpoutgo
2016-07-07	11:11:16	10.27.128.86	58.211.179.124	none	IM Used	LIST	-	-	-	21	10.7.210.157	126	0	58.211.179.124/mpoutgo
2016-07-07	11:14:18	10.27.128.86	58.211.179.124	none	IM Used	LIST	-	-	-	21	10.7.210.157	126	0	58.211.179.124/mpoutgo
2016-07-07	04:40:16	10.27.128.86	58.211.179.124	none	IM Used	LIST	-	-	-	21	10.7.210.157	126	0	58.211.179.124/mpoutgo
