p_date	p_time	clientip	host	webcat	respcode	reqmethod	useragent	resconttype	referer	uriport	serverip	scbytes	csbytes	fulluri
2016-07-07	02:20:18	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	02:22:18	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	02:26:18	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	03:32:19	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	03:36:19	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	00:26:18	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	00:28:18	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	06:24:19	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	04:56:19	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	04:58:19	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	05:00:19	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	18:38:21	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	18:42:21	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	18:44:21	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	18:46:21	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	16:30:20	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	23:52:21	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	23:54:21	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	17:02:21	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	17:08:21	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	21:00:21	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	02:28:18	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	02:58:19	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	03:02:19	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	02:36:18	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	12:50:20	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	12:54:20	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	13:56:20	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	21:44:21	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	14:56:20	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	15:00:20	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	15:06:20	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	16:24:20	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	16:28:20	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	17:56:21	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
2016-07-07	06:52:19	10.3.37.222	graph.facebook.com	Social Networking;Content Servers	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	-	443	10.7.210.157	39	222	graph.facebook.com
