p_date	p_time	clientip	host	webcat	respcode	reqmethod	useragent	resconttype	referer	uriport	serverip	scbytes	csbytes	fulluri
2016-07-07	17:55:27	10.3.50.57	safebrowsing.google.com	Non-Viewable/Infrastructure	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	232	safebrowsing.google.com
2016-07-07	16:29:34	10.3.50.57	safebrowsing.google.com	Non-Viewable/Infrastructure	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	232	safebrowsing.google.com
2016-07-07	23:52:43	10.3.50.57	safebrowsing.google.com	Non-Viewable/Infrastructure	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	232	safebrowsing.google.com
2016-07-07	17:27:17	10.3.50.57	safebrowsing.google.com	Non-Viewable/Infrastructure	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	232	safebrowsing.google.com
2016-07-07	13:58:09	10.3.50.57	safebrowsing.google.com	Non-Viewable/Infrastructure	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	232	safebrowsing.google.com
2016-07-07	11:00:13	10.3.50.57	safebrowsing.google.com	Non-Viewable/Infrastructure	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	232	safebrowsing.google.com
2016-07-07	18:52:05	10.3.50.57	safebrowsing.google.com	Non-Viewable/Infrastructure	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	232	safebrowsing.google.com
2016-07-07	14:57:20	10.3.50.57	safebrowsing.google.com	Non-Viewable/Infrastructure	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	232	safebrowsing.google.com
2016-07-07	13:28:05	10.3.50.57	safebrowsing.google.com	Non-Viewable/Infrastructure	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	232	safebrowsing.google.com
2016-07-07	12:28:14	10.3.50.57	safebrowsing.google.com	Non-Viewable/Infrastructure	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	232	safebrowsing.google.com
2016-07-07	19:49:34	10.3.50.57	safebrowsing.google.com	Non-Viewable/Infrastructure	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	232	safebrowsing.google.com
2016-07-07	03:54:43	10.3.50.57	safebrowsing.google.com	Non-Viewable/Infrastructure	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	232	safebrowsing.google.com
2015-02-28	23:58:41	10.3.50.57	safebrowsing.google.com	Non-Viewable/Infrastructure	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	232	safebrowsing.google.com
2016-07-07	01:57:32	10.3.50.57	safebrowsing.google.com	Non-Viewable/Infrastructure	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	232	safebrowsing.google.com
2016-07-07	01:28:40	10.3.50.57	safebrowsing.google.com	Non-Viewable/Infrastructure	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	232	safebrowsing.google.com
2016-07-07	03:26:19	10.3.50.57	safebrowsing.google.com	Non-Viewable/Infrastructure	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	232	safebrowsing.google.com
2016-07-07	11:29:57	10.3.50.57	safebrowsing.google.com	Non-Viewable/Infrastructure	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	232	safebrowsing.google.com
2016-07-07	19:21:30	10.3.50.57	safebrowsing.google.com	Non-Viewable/Infrastructure	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	232	safebrowsing.google.com
2016-07-07	20:20:38	10.3.50.57	safebrowsing.google.com	Non-Viewable/Infrastructure	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	232	safebrowsing.google.com
2016-07-07	07:55:54	10.3.50.57	safebrowsing.google.com	Non-Viewable/Infrastructure	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	232	safebrowsing.google.com
2016-07-07	05:24:40	10.3.50.57	safebrowsing.google.com	Non-Viewable/Infrastructure	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	232	safebrowsing.google.com
2016-07-07	11:59:25	10.3.50.57	safebrowsing.google.com	Non-Viewable/Infrastructure	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	232	safebrowsing.google.com
2016-07-07	08:27:51	10.3.50.57	safebrowsing.google.com	Non-Viewable/Infrastructure	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	-	443	10.7.210.157	39	232	safebrowsing.google.com
