p_date	p_time	clientip	host	webcat	respcode	reqmethod	useragent	resconttype	referer	uriport	serverip	scbytes	csbytes	fulluri
2016-07-07	03:33:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	10:05:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	10:06:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	03:45:19	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	03:45:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	07:24:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	00:34:19	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	00:39:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	02:30:19	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	02:35:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	06:27:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	12:50:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	12:54:19	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	04:43:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	02:55:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	20:23:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	20:24:19	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	20:26:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	10:58:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	11:02:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	20:58:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	03:58:19	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	03:58:23	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	05:31:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	05:33:19	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	02:39:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	02:41:19	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	18:12:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	18:14:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	02:21:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	02:23:19	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	02:24:19	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	02:26:19	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	00:48:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	10:25:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	02:47:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	03:17:19	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	03:18:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	04:50:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	21:58:23	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	21:42:19	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	16:26:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	11:15:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	08:42:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	08:43:19	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	08:43:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	08:32:19	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	18:46:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	16:32:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	15:02:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	11:18:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	21:02:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	21:03:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	21:07:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	17:28:19	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	05:40:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	23:11:19	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	03:24:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	03:27:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	20:33:22	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	10:37:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	04:55:19	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	06:30:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	06:32:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	04:00:19	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	02:57:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	03:00:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	12:29:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	12:38:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	05:04:21	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	05:04:22	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	19:01:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	00:54:19	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	08:46:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	11:23:21	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	13:25:19	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	13:29:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	13:36:19	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	13:36:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	22:43:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	14:11:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	14:12:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	20:05:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	20:36:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	23:14:21	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	08:57:19	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
2016-07-07	09:02:20	10.4.67.106	collector-120.newrelic.com	Web Ads/Analytics	OK	CONNECT	-	-	-	443	10.7.210.157	39	119	collector-120.newrelic.com
