p_date	p_time	clientip	host	webcat	respcode	reqmethod	useragent	resconttype	referer	uriport	serverip	scbytes	csbytes	fulluri
2016-07-07	08:32:56	10.6.160.105	cdn.cxense.com	Content Servers	Not Modified	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/x-javascript	http://www.wsj.com/?refresh=on	80	10.7.210.157	299	480	cdn.cxense.com/cx.js
2016-07-07	08:32:57	10.6.160.105	cdn.cxense.com	Content Servers	Not Modified	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/x-javascript	http://cdn.cxpublic.com/master-data-template.html	80	10.7.210.157	299	499	cdn.cxense.com/cx.js
2016-07-07	08:32:57	10.6.160.105	cdn.cxense.com	Content Servers	Not Modified	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/x-javascript	http://cdn-templates.cxpublic.com/AdSpaceProduction_000000015fc4fdb4.html	80	10.7.210.157	299	523	cdn.cxense.com/cx.js
2016-07-07	17:24:54	10.6.160.105	cdn.cxense.com	Content Servers	Not Modified	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/x-javascript	http://www.wsj.com/news/technology?refresh=on	80	10.7.210.157	299	495	cdn.cxense.com/cx.js
2016-07-07	17:24:55	10.6.160.105	cdn.cxense.com	Content Servers	Not Modified	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/x-javascript	http://cdn.cxpublic.com/master-data-template.html	80	10.7.210.157	299	499	cdn.cxense.com/cx.js
2016-07-07	17:24:56	10.6.160.105	cdn.cxense.com	Content Servers	Not Modified	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/x-javascript	http://cdn-templates.cxpublic.com/AdSpaceProduction_000000015fc846f3.html	80	10.7.210.157	299	523	cdn.cxense.com/cx.js
2016-07-07	02:52:22	10.6.160.105	cdn.cxense.com	Content Servers	Not Modified	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/x-javascript	http://www.wsj.com/?refresh=on	80	10.7.210.157	299	480	cdn.cxense.com/cx.js
2016-07-07	02:52:24	10.6.160.105	cdn.cxense.com	Content Servers	Not Modified	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/x-javascript	http://cdn.cxpublic.com/master-data-template.html	80	10.7.210.157	299	499	cdn.cxense.com/cx.js
2016-07-07	02:52:24	10.6.160.105	cdn.cxense.com	Content Servers	Not Modified	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/x-javascript	http://cdn-templates.cxpublic.com/AdSpaceProduction_000000015fc4fdb4.html	80	10.7.210.157	299	523	cdn.cxense.com/cx.js
2016-07-07	12:56:17	10.6.160.105	cdn.cxense.com	Content Servers	Not Modified	GET	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/x-javascript	http://www.wsj.com/news/personal-technology?refresh=on&category=all&page=1	80	10.7.210.157	299	524	cdn.cxense.com/cx.js
