p_date	p_time	clientip	host	webcat	respcode	reqmethod	useragent	resconttype	referer	uriport	serverip	scbytes	csbytes	fulluri
2016-07-07	18:12:19	10.6.99.26	crl.microsoft.com	Non-Viewable/Infrastructure	OK	GET	Microsoft-CryptoAPI/5.131.3790.3959	application/pkix-crl	-	80	10.7.210.157	1029	228	crl.microsoft.com/pki/crl/products/CSPCA.crl
2016-07-07	16:32:20	10.6.99.26	crl.microsoft.com	Non-Viewable/Infrastructure	OK	GET	Microsoft-CryptoAPI/5.131.3790.3959	application/pkix-crl	-	80	10.7.210.157	1029	228	crl.microsoft.com/pki/crl/products/CSPCA.crl
2016-07-07	04:59:20	10.6.99.26	crl.microsoft.com	Non-Viewable/Infrastructure	OK	GET	Microsoft-CryptoAPI/5.131.3790.3959	application/pkix-crl	-	80	10.7.210.157	1029	228	crl.microsoft.com/pki/crl/products/CSPCA.crl
2016-07-07	18:20:19	10.6.99.26	crl.microsoft.com	Non-Viewable/Infrastructure	OK	GET	Microsoft-CryptoAPI/5.131.3790.3959	application/pkix-crl	-	80	10.7.210.157	1029	228	crl.microsoft.com/pki/crl/products/CSPCA.crl
2016-07-07	18:20:19	10.6.99.26	crl.microsoft.com	Non-Viewable/Infrastructure	OK	GET	Microsoft-CryptoAPI/5.131.3790.3959	application/pkix-crl	-	80	10.7.210.157	1029	228	crl.microsoft.com/pki/crl/products/CSPCA.crl
2016-07-07	08:32:18	10.6.99.26	crl.microsoft.com	Non-Viewable/Infrastructure	OK	GET	Microsoft-CryptoAPI/5.131.3790.3959	application/pkix-crl	-	80	10.7.210.157	1029	228	crl.microsoft.com/pki/crl/products/CSPCA.crl
2016-07-07	08:34:11	10.6.99.26	crl.microsoft.com	Non-Viewable/Infrastructure	OK	GET	Microsoft-CryptoAPI/5.131.3790.3959	application/pkix-crl	-	80	10.7.210.157	1029	228	crl.microsoft.com/pki/crl/products/CSPCA.crl
2016-07-07	08:34:18	10.6.99.26	crl.microsoft.com	Non-Viewable/Infrastructure	OK	GET	Microsoft-CryptoAPI/5.131.3790.3959	application/pkix-crl	-	80	10.7.210.157	1029	228	crl.microsoft.com/pki/crl/products/CSPCA.crl
2016-07-07	08:35:20	10.6.99.26	crl.microsoft.com	Non-Viewable/Infrastructure	OK	GET	Microsoft-CryptoAPI/5.131.3790.3959	application/pkix-crl	-	80	10.7.210.157	1029	228	crl.microsoft.com/pki/crl/products/CSPCA.crl
2016-07-07	08:38:18	10.6.99.26	crl.microsoft.com	Non-Viewable/Infrastructure	OK	GET	Microsoft-CryptoAPI/5.131.3790.3959	application/pkix-crl	-	80	10.7.210.157	1029	228	crl.microsoft.com/pki/crl/products/CSPCA.crl
2016-07-07	05:11:20	10.6.99.26	crl.microsoft.com	Non-Viewable/Infrastructure	OK	GET	Microsoft-CryptoAPI/5.131.3790.3959	application/pkix-crl	-	80	10.7.210.157	1029	228	crl.microsoft.com/pki/crl/products/CSPCA.crl
2016-07-07	18:02:20	10.6.99.26	crl.microsoft.com	Non-Viewable/Infrastructure	OK	GET	Microsoft-CryptoAPI/5.131.3790.3959	application/pkix-crl	-	80	10.7.210.157	1029	228	crl.microsoft.com/pki/crl/products/CSPCA.crl
2016-07-07	07:35:20	10.6.99.26	crl.microsoft.com	Non-Viewable/Infrastructure	OK	GET	Microsoft-CryptoAPI/5.131.3790.3959	application/pkix-crl	-	80	10.7.210.157	1029	228	crl.microsoft.com/pki/crl/products/CSPCA.crl
2016-07-07	16:46:19	10.6.99.26	crl.microsoft.com	Non-Viewable/Infrastructure	OK	GET	Microsoft-CryptoAPI/5.131.3790.3959	application/pkix-crl	-	80	10.7.210.157	1029	228	crl.microsoft.com/pki/crl/products/CSPCA.crl
2016-07-07	05:17:39	10.6.99.26	crl.microsoft.com	Non-Viewable/Infrastructure	OK	GET	Microsoft-CryptoAPI/5.131.3790.3959	application/pkix-crl	-	80	10.7.210.157	1029	228	crl.microsoft.com/pki/crl/products/CSPCA.crl
2016-07-07	07:24:19	10.6.99.26	crl.microsoft.com	Non-Viewable/Infrastructure	OK	GET	Microsoft-CryptoAPI/5.131.3790.3959	application/pkix-crl	-	80	10.7.210.157	1029	228	crl.microsoft.com/pki/crl/products/CSPCA.crl
2016-07-07	20:24:18	10.6.99.26	crl.microsoft.com	Non-Viewable/Infrastructure	OK	GET	Microsoft-CryptoAPI/5.131.3790.3959	application/pkix-crl	-	80	10.7.210.157	1029	228	crl.microsoft.com/pki/crl/products/CSPCA.crl
2016-07-07	04:34:10	10.6.99.26	crl.microsoft.com	Non-Viewable/Infrastructure	OK	GET	Microsoft-CryptoAPI/5.131.3790.3959	application/pkix-crl	-	80	10.7.210.157	1029	228	crl.microsoft.com/pki/crl/products/CSPCA.crl
2016-07-07	05:18:19	10.6.99.26	crl.microsoft.com	Non-Viewable/Infrastructure	OK	GET	Microsoft-CryptoAPI/5.131.3790.3959	application/pkix-crl	-	80	10.7.210.157	1029	228	crl.microsoft.com/pki/crl/products/CSPCA.crl
2016-07-07	12:50:18	10.6.99.26	crl.microsoft.com	Non-Viewable/Infrastructure	OK	GET	Microsoft-CryptoAPI/5.131.3790.3959	application/pkix-crl	-	80	10.7.210.157	1029	228	crl.microsoft.com/pki/crl/products/CSPCA.crl
