p_date	p_time	clientip	host	webcat	respcode	reqmethod	useragent	resconttype	referer	uriport	serverip	scbytes	csbytes	fulluri
2016-07-07	03:28:44	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:28:49	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:28:54	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:28:59	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:29:04	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:29:09	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:29:14	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:29:19	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:29:24	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:29:29	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:29:34	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:29:39	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:29:44	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:29:49	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:29:54	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:29:59	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:30:04	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:30:09	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:30:14	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:30:19	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:30:24	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:30:29	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:30:34	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:30:39	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:30:44	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:30:49	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:30:54	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:30:59	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:31:04	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:31:09	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:31:14	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:31:19	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:31:24	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:31:29	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:31:34	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:31:39	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:31:44	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:31:49	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:31:54	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:31:59	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
2016-07-07	03:32:04	10.7.210.144	-	-	0	unknown	-	-	-	0	10.7.210.157	0	0	-
