p_date	p_time	clientip	host	webcat	respcode	reqmethod	useragent	resconttype	referer	uriport	serverip	scbytes	csbytes	fulluri
2016-07-07	20:57:45	10.9.96.74	talkgadget.google.com	Chat (IM)/SMS	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36	-	-	443	10.7.210.157	39	227	talkgadget.google.com
2016-07-07	14:06:35	10.9.96.74	talkgadget.google.com	Chat (IM)/SMS	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36	-	-	443	10.7.210.157	39	227	talkgadget.google.com
2016-07-07	03:15:07	10.9.96.74	talkgadget.google.com	Chat (IM)/SMS	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36	-	-	443	10.7.210.157	39	227	talkgadget.google.com
2016-07-07	21:57:59	10.9.96.74	talkgadget.google.com	Chat (IM)/SMS	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36	-	-	443	10.7.210.157	39	227	talkgadget.google.com
2016-07-07	14:18:03	10.9.96.74	talkgadget.google.com	Chat (IM)/SMS	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36	-	-	443	10.7.210.157	39	227	talkgadget.google.com
2016-07-07	18:56:39	10.9.96.74	talkgadget.google.com	Chat (IM)/SMS	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36	-	-	443	10.7.210.157	39	227	talkgadget.google.com
2016-07-07	17:33:07	10.9.96.74	talkgadget.google.com	Chat (IM)/SMS	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36	-	-	443	10.7.210.157	39	227	talkgadget.google.com
2016-07-07	10:04:35	10.9.96.74	talkgadget.google.com	Chat (IM)/SMS	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36	-	-	443	10.7.210.157	39	227	talkgadget.google.com
2016-07-07	15:57:00	10.9.96.74	talkgadget.google.com	Chat (IM)/SMS	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36	-	-	443	10.7.210.157	39	227	talkgadget.google.com
2016-07-07	02:55:16	10.9.96.74	talkgadget.google.com	Chat (IM)/SMS	OK	CONNECT	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36	-	-	443	10.7.210.157	39	227	talkgadget.google.com
