p_date	p_time	clientip	host	webcat	respcode	reqmethod	useragent	resconttype	referer	uriport	serverip	scbytes	csbytes	fulluri
2016-07-07	15:05:41	172.16.119.136	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	17:05:40	172.16.119.136	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	04:31:57	172.16.119.136	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	04:36:01	172.16.119.136	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	71	xml.syncplicity.com
2016-07-07	21:58:18	172.16.119.136	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	12:52:34	172.16.119.136	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	71	xml.syncplicity.com
2016-07-07	22:38:17	172.16.119.136	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	22:38:39	172.16.119.136	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	71	xml.syncplicity.com
2016-07-07	17:56:11	172.16.119.136	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	07:28:33	172.16.119.136	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	15:54:30	172.16.119.136	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	15:13:50	172.16.119.136	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	22:58:58	172.16.119.136	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	18:16:14	172.16.119.136	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	00:30:25	172.16.119.136	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	71	xml.syncplicity.com
2016-07-07	17:15:31	172.16.119.136	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	17:35:31	172.16.119.136	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	08:49:49	172.16.119.136	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
2016-07-07	04:45:52	172.16.119.136	xml.syncplicity.com	File Storage/Sharing	OK	CONNECT	-	-	-	443	10.7.210.157	39	101	xml.syncplicity.com
