p_date	p_time	clientip	host	reqmethod	useragent	resconttype	duration	username	webcat	referer	respcode	uriport	uripath	uriquery	serverip	scbytes	csbytes	fulluri	word	score	uri_rep	uri_sev	respcode_name	network_context	hash
2016-07-07	12:56:18	10.24.236.37	pictures.match.com	GET	"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML	 like Gecko) Chrome/40.0.2214.115 Safari/537.36"	image/jpeg	224	-	Personals/Dating	http://www.match.com/Profile/Display/About/?uid=/dglGqM/cPcCH30ncEUm6Q==&tp=S&pn=14&lid=18	200	80	/photos400/194/209/5253ef84-2a63-e111-add9-d8d385b34caa.jpeg	-	10.7.210.157	16377	1150	pictures.match.com/photos400/194/209/5253ef84-2a63-e111-add9-d8d385b34caa.jpeg	0_10_6_1_0_5_1_0	1.14E-07	gti:Minimal:1:Dating/Social Networking|Lifestyle::fb:UNKNOWN:-1	0	OK		3e88aa79f4563ec79ef46e18361cf74a12
2016-07-07	12:56:18	10.24.44.3	s.usaa.com	CONNECT	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; GTB7.5; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET CLR 1.1.4322; .NET4.0E; .NET4.0C; InfoPath.3)	-	12	-	Financial Services	-	200	443	/	-	10.7.210.157	39	330	s.usaa.com	1_10_5_5_4_5_1_0	1.14E-07	gti:Unverified:-1:Finance/Banking|Business/Services::fb:UNKNOWN:-1	0	OK		3b52017475b848e65ce79ede9cdc2a2e12
2016-07-07	12:56:18	10.252.201.254	en-us.appex-rf.msn.com	GET	Microsoft-WNS/6.2	application/xml;%20charset=utf-8	16	-	Search Engines/Portals	-	200	80	/cgtile/v1/en-us/Sports/Today.xml	-	10.7.210.157	1695	158	en-us.appex-rf.msn.com/cgtile/v1/en-us/Sports/Today.xml	0_6_3_1_0_5_1_0	1.15E-07	gti:Minimal:1:Portal Sites|Information/Communication::fb:UNKNOWN:-1	0	OK		9f5194d425933c9ea7e6355e57b2ca1b12
2016-07-07	12:56:18	137.102.150.97	4.27.8.21	POST	Shockwave Flash	application/x-fcs	7	-	Audio/Video Clips	http://www.hulu.com/watch/467046	200	443	/idle/eNbmVWkswmxUSJzZ/20558	-	10.7.210.157	16634	394	4.27.8.21/idle/eNbmVWkswmxUSJzZ/20558	1_2_2_0_1_5_1_0	1.15E-07	gti:Minimal:1:Computing/Internet|Information Technology::fb:UNKNOWN:-1	0	OK		54b5cb934954178e9585225b0c795fa212
2016-07-07	12:56:18	10.254.107.196	stationdata.wunderground.com	GET	"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML	 like Gecko) Chrome/40.0.2214.115 Safari/537.36"	text/javascript	200	-	News/Media	http://www.wunderground.com/weather-forecast/zmw:50112.1.99999?MR=1	200	80	/cgi-bin/stationlookup	?format=json&maxage=10&station=KRIAGRIN2&units=english&v=2.0&callback=jQuery1720558919585077092_1425214344366&_=1425214577355	10.7.210.157	551	2201	stationdata.wunderground.com/cgi-bin/stationlookup?format=json&maxage=10&station=KRIAGRIN2&units=english&v=2.0&callback=jQuery1720558919585077092_1425214344366&_=1425214577355	1_10_9_1_5_5_1_0	1.15E-07	gti:Minimal:1:Streaming Media|Entertainment/Culture::fb:UNKNOWN:-1	0	OK		bab515634037f9f72ca10034ca9859d312
2016-07-07	12:56:18	10.252.135.252	logc238.xiti.com	GET	"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML	 like Gecko) Chrome/40.0.2214.115 Safari/537.36"	image/gif	524	-	Technology/Internet	http://www.francetvinfo.fr/replay-jt/france-2/8-heures/	200	80	/hit.xiti	?s=508428&s2=6&p=replay-jt::france-2::8-heures::homepage&lng=en-us&idp=045616968104&jv=1&re=1348x639&vtag=4.5.8&hl=4x56x16&r=1366x768x24x24&ref=http://www.francetvinfo.fr/replay-jt/france-2/8-heures/	10.7.210.157	384	686	logc238.xiti.com/hit.xiti?s=508428&s2=6&p=replay-jt::france-2::8-heures::homepage&lng=en-us&idp=045616968104&jv=1&re=1348x639&vtag=4.5.8&hl=4x56x16&r=1366x768x24x24&ref=http://www.francetvinfo.fr/replay-jt/france-2/8-heures/	1_10_9_5_3_5_1_0	1.15E-07	gti:Minimal:1:Computing/Internet|Information Technology;General News|Information/Communication::fb:UNKNOWN:-1	0	OK		d75160af3dabe2b81ffc195fce45e90112
2016-07-07	12:56:18	10.24.44.3	www.totalsourcetracker.com	CONNECT	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; GTB7.5; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET CLR 1.1.4322; .NET4.0E; .NET4.0C; InfoPath.3)	-	12	-	Business/Economy;Job Search/Careers	-	200	443	/	-	10.7.210.157	39	362	www.totalsourcetracker.com	1_10_10_5_3_5_1_0	1.15E-07	gti:Minimal:1:Computing/Internet|Information Technology::fb:UNKNOWN:-1	0	OK		99e1dbcf3ad1fc4b3e48d1c6c617f25312
2016-07-07	12:56:18	10.24.236.37	pictures.match.com	GET	"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML	 like Gecko) Chrome/40.0.2214.115 Safari/537.36"	image/jpeg	82	-	Personals/Dating	http://www.match.com/Profile/Display/About/?uid=/dglGqM/cPcCH30ncEUm6Q==&tp=S&pn=14&lid=18	200	80	/photos400/194/209/f7b655e1-f087-e311-be96-18a905601596.jpeg	-	10.7.210.157	13448	1150	pictures.match.com/photos400/194/209/f7b655e1-f087-e311-be96-18a905601596.jpeg	0_6_6_0_1_5_1_0	1.15E-07	gti:Minimal:1:Dating/Social Networking|Lifestyle::fb:UNKNOWN:-1	0	OK		5ea628f9bfdf1128fee598d6d6ed3bf112
2016-07-07	12:56:18	10.6.160.105	cdn.cxense.com	GET	"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML	 like Gecko) Chrome/40.0.2214.115 Safari/537.36"	application/x-javascript	15	-	Content Servers	http://cdn.cxpublic.com/master-data-template.html	304	80	/cx.js	-	10.7.210.157	299	499	cdn.cxense.com/cx.js	1_10_9_1_4_5_1_0	1.15E-07	gti:Unverified:-1:General News|Information/Communication::fb:UNKNOWN:-1	0	Not Modified		993924fb981f70c99b0a77e8972e0d5412
2016-07-07	12:56:18	10.252.195.115	bn1wns2011218.wns.windows.com	CONNECT	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; WnpTrans 6.2.9200.16420)	-	62	-	Technology/Internet	-	200	443	/	-	10.7.210.157	39	273	bn1wns2011218.wns.windows.com	1_10_4_5_4_5_1_0	1.15E-07	gti:Minimal:1:Business|Business/Services;Computing/Internet|Information Technology::fb:UNKNOWN:-1	0	OK		7bc65e6bff772928447548e9285f6c3a12
2016-07-07	12:56:18	10.6.99.26	crl.microsoft.com	GET	Microsoft-CryptoAPI/5.131.3790.3959	application/pkix-crl	23	-	Non-Viewable/Infrastructure	-	200	80	/pki/crl/products/CSPCA.crl	-	10.7.210.157	1029	228	crl.microsoft.com/pki/crl/products/CSPCA.crl	0_6_7_1_0_5_1_0	1.16E-07	gti:Minimal:1:Business|Business/Services;Computing/Internet|Information Technology::fb:UNKNOWN:-1	0	OK		b8d14ddda1d34d4ce4ae99fc6c0bab6912
2016-07-07	12:56:18	137.102.150.97	4.27.8.21	POST	Shockwave Flash	application/x-fcs	14	-	Audio/Video Clips	http://www.hulu.com/watch/467046	200	443	/idle/eNbmVWkswmxUSJzZ/20559	-	10.7.210.157	245	394	4.27.8.21/idle/eNbmVWkswmxUSJzZ/20559	1_10_5_1_3_5_1_0	1.16E-07	gti:Unverified:-1:Computing/Internet|Information Technology::fb:UNKNOWN:-1	0	OK		4dd93aa3c6568193f1ef3084a082104f12
2016-07-07	12:56:18	10.24.44.3	tms.usaa.com	CONNECT	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; GTB7.5; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET CLR 1.1.4322; .NET4.0E; .NET4.0C; InfoPath.3)	-	48	-	Financial Services	-	200	443	/	-	10.7.210.157	39	334	tms.usaa.com	0_6_6_1_0_5_1_0	1.16E-07	gti:Minimal:1:Finance/Banking|Business/Services::fb:UNKNOWN:-1	0	OK		5f9eb9823686ba7aa3fdec00b35f5efa12
