tstart	tend	duration	clientip	respcode
2016-07-07 15:06:02	2016-07-07 15:06:02	286	10.27.128.86	0
2016-07-07 04:37:12	2016-07-07 04:37:12	399	10.27.128.86	0
2016-07-07 01:40:07	2016-07-07 01:40:07	197	10.27.128.86	0
2016-07-07 16:17:49	2016-07-07 16:17:49	1	10.27.128.86	0
2016-07-07 20:32:52	2016-07-07 20:32:52	193	10.27.128.86	0
2016-07-07 08:33:44	2016-07-07 08:33:44	439	10.27.128.86	0
2016-07-07 20:38:58	2016-07-07 20:38:58	191	10.27.128.86	0
2016-07-07 18:07:19	2016-07-07 18:07:19	498	10.27.128.86	0
2016-07-07 18:46:25	2016-07-07 18:46:25	893	10.27.128.86	0
2016-07-07 10:18:41	2016-07-07 10:18:41	567	10.27.128.86	0
2016-07-07 12:39:43	2016-07-07 12:39:43	619	10.27.128.86	0
2016-07-07 20:35:48	2016-07-07 20:35:48	47	10.27.128.86	0
2016-07-07 14:46:54	2016-07-07 14:46:54	584	10.27.128.86	0
2016-07-07 22:49:29	2016-07-07 22:49:29	180	10.27.128.86	0
2016-07-07 14:40:53	2016-07-07 14:40:53	644	10.27.128.86	0
2016-07-07 10:02:19	2016-07-07 10:02:19	187	10.27.128.86	0
2016-07-07 06:11:43	2016-07-07 06:11:43	232	10.27.128.86	0
2016-07-07 10:58:12	2016-07-07 10:58:12	436	10.27.128.86	0
2016-07-07 06:57:49	2016-07-07 06:57:49	687	10.27.128.86	0
2016-07-07 18:09:51	2016-07-07 18:09:51	770	10.27.128.86	0
2016-07-07 03:16:41	2016-07-07 03:16:41	249	10.27.128.86	0
2016-07-07 04:12:12	2016-07-07 04:12:12	169	10.27.128.86	0
2016-07-07 07:11:07	2016-07-07 07:11:07	199	10.27.128.86	0
2016-07-07 02:23:32	2016-07-07 02:23:32	754	10.27.128.86	0
2016-07-07 11:22:43	2016-07-07 11:22:43	831	10.27.128.86	0
2016-07-07 08:25:47	2016-07-07 08:25:47	275	10.27.128.86	0
2016-07-07 01:59:34	2016-07-07 01:59:34	767	10.27.128.86	0
2016-07-07 01:37:02	2016-07-07 01:37:02	542	10.27.128.86	0
2016-07-07 09:14:45	2016-07-07 09:14:45	879	10.27.128.86	0
2016-07-07 11:14:17	2016-07-07 11:14:17	566	10.27.128.86	0
2016-07-07 03:25:14	2016-07-07 03:25:14	171	10.27.128.86	0
2016-07-07 11:41:49	2016-07-07 11:41:49	191	10.27.128.86	0
2016-07-07 06:35:56	2016-07-07 06:35:56	172	10.27.128.86	0
2016-07-07 01:31:05	2016-07-07 01:31:05	243	10.27.128.86	0
2016-07-07 19:25:19	2016-07-07 19:25:19	237	10.27.128.86	0
2016-07-07 18:04:24	2016-07-07 18:04:24	3480	10.27.128.86	0
2016-07-07 00:19:34	2016-07-07 00:19:34	395	10.27.128.86	0
2016-07-07 22:20:53	2016-07-07 22:20:53	609	10.27.128.86	0
2016-07-07 04:01:07	2016-07-07 04:01:07	570	10.27.128.86	0
2016-07-07 17:59:25	2016-07-07 17:59:25	871	10.27.128.86	0
2016-07-07 14:08:50	2016-07-07 14:08:50	752	10.27.128.86	0
2016-07-07 19:53:25	2016-07-07 19:53:25	373	10.27.128.86	0
2016-07-07 17:56:26	2016-07-07 17:56:26	591	10.27.128.86	0
2016-07-07 17:36:47	2016-07-07 17:36:47	226	10.27.128.86	0
2016-07-07 05:56:06	2016-07-07 05:56:06	650	10.27.128.86	0
2016-07-07 15:39:13	2016-07-07 15:39:13	46	10.27.128.86	0
2016-07-07 00:28:33	2016-07-07 00:28:33	570	10.27.128.86	0
2016-07-07 09:42:39	2016-07-07 09:42:39	623	10.27.128.86	0
2016-07-07 00:57:27	2016-07-07 00:57:27	48	10.27.128.86	0
2016-07-07 08:50:10	2016-07-07 08:50:10	197	10.27.128.86	0
2016-07-07 11:36:44	2016-07-07 11:36:44	224	10.27.128.86	0
2016-07-07 13:46:28	2016-07-07 13:46:28	240	10.27.128.86	0
2016-07-07 10:32:38	2016-07-07 10:32:38	49	10.27.128.86	0
2016-07-07 14:16:14	2016-07-07 14:16:14	268	10.27.128.86	0
2016-07-07 06:46:47	2016-07-07 06:46:47	844	10.27.128.86	0
2016-07-07 17:53:27	2016-07-07 17:53:27	294	10.27.128.86	0
2016-07-07 23:38:52	2016-07-07 23:38:52	555	10.27.128.86	0
2016-07-07 16:17:50	2016-07-07 16:17:50	569	10.27.128.86	0
2016-07-07 08:50:16	2016-07-07 08:50:16	178	10.27.128.86	0
2016-07-07 12:06:43	2016-07-07 12:06:43	761	10.27.128.86	0
2016-07-07 18:15:22	2016-07-07 18:15:22	949	10.27.128.86	0
2016-07-07 12:45:18	2016-07-07 12:45:18	557	10.27.128.86	0
2016-07-07 18:21:17	2016-07-07 18:21:17	775	10.27.128.86	0
2016-07-07 16:51:26	2016-07-07 16:51:26	251	10.27.128.86	0
2016-07-07 05:04:38	2016-07-07 05:04:38	374	10.27.128.86	0
2016-07-07 03:36:32	2016-07-07 03:36:32	188	10.27.128.86	0
2016-07-07 07:50:08	2016-07-07 07:50:08	627	10.27.128.86	0
2016-07-07 09:51:17	2016-07-07 09:51:17	599	10.27.128.86	0
2016-07-07 03:58:45	2016-07-07 03:58:45	193	10.27.128.86	0
2016-07-07 08:39:46	2016-07-07 08:39:46	3324	10.27.128.86	0
2016-07-07 12:51:17	2016-07-07 12:51:17	3654	10.27.128.86	0
2016-07-07 23:12:25	2016-07-07 23:12:25	228	10.27.128.86	0
2016-07-07 20:55:21	2016-07-07 20:55:21	631	10.27.128.86	0
2016-07-07 17:59:16	2016-07-07 17:59:16	543	10.27.128.86	0
2016-07-07 14:24:26	2016-07-07 14:24:26	838	10.27.128.86	0
2016-07-07 14:08:47	2016-07-07 14:08:47	1	10.27.128.86	0
2016-07-07 09:09:18	2016-07-07 09:09:18	574	10.27.128.86	0
2016-07-07 19:05:51	2016-07-07 19:05:51	598	10.27.128.86	0
2016-07-07 13:49:23	2016-07-07 13:49:23	307	10.27.128.86	0
2016-07-07 11:33:45	2016-07-07 11:33:45	248	10.27.128.86	0
2016-07-07 15:44:49	2016-07-07 15:44:49	871	10.27.128.86	0
2016-07-07 14:18:57	2016-07-07 14:18:57	947	10.27.128.86	0
2016-07-07 08:45:16	2016-07-07 08:45:16	566	10.27.128.86	0
2016-07-07 05:34:05	2016-07-07 05:34:05	242	10.27.128.86	0
2016-07-07 09:23:10	2016-07-07 09:23:10	321	10.27.128.86	0
2016-07-07 21:34:53	2016-07-07 21:34:53	320	10.27.128.86	0
2016-07-07 16:51:25	2016-07-07 16:51:25	492	10.27.128.86	0
2016-07-07 21:40:50	2016-07-07 21:40:50	609	10.27.128.86	0
2016-07-07 02:52:00	2016-07-07 02:52:00	529	10.27.128.86	0
2016-07-07 14:36:01	2016-07-07 14:36:01	273	10.27.128.86	0
2016-07-07 00:02:00	2016-07-07 00:02:00	188	10.27.128.86	0
2016-07-07 14:00:14	2016-07-07 14:00:14	273	10.27.128.86	0
2016-07-07 00:01:58	2016-07-07 00:01:58	235	10.27.128.86	0
2016-07-07 23:53:05	2016-07-07 23:53:05	188	10.27.128.86	0
2016-07-07 18:04:27	2016-07-07 18:04:27	711	10.27.128.86	0
2016-07-07 22:57:55	2016-07-07 22:57:55	586	10.27.128.86	0
2016-07-07 15:16:53	2016-07-07 15:16:53	392	10.27.128.86	0
2016-07-07 01:45:05	2016-07-07 01:45:05	727	10.27.128.86	0
2016-07-07 02:35:09	2016-07-07 02:35:09	245	10.27.128.86	0
2016-07-07 22:51:52	2016-07-07 22:51:52	325	10.27.128.86	0
2016-07-07 22:20:58	2016-07-07 22:20:58	781	10.27.128.86	0
2016-07-07 12:06:46	2016-07-07 12:06:46	545	10.27.128.86	0
2016-07-07 20:58:25	2016-07-07 20:58:25	250	10.27.128.86	0
2016-07-07 00:28:30	2016-07-07 00:28:30	169	10.27.128.86	0
2016-07-07 17:22:26	2016-07-07 17:22:26	237	10.27.128.86	0
2016-07-07 12:56:19	2016-07-07 12:56:19	596	10.27.128.86	0
2016-07-07 04:31:32	2016-07-07 04:31:32	391	10.27.128.86	0
2016-07-07 18:29:53	2016-07-07 18:29:53	521	10.27.128.86	0
2016-07-07 11:20:12	2016-07-07 11:20:12	336	10.27.128.86	0
2016-07-07 18:32:16	2016-07-07 18:32:16	49	10.27.128.86	0
2016-07-07 06:25:23	2016-07-07 06:25:23	1045	10.27.128.86	0
2016-07-07 13:21:11	2016-07-07 13:21:11	49	10.27.128.86	0
2016-07-07 13:43:47	2016-07-07 13:43:47	716	10.27.128.86	0
2016-07-07 03:00:33	2016-07-07 03:00:33	532	10.27.128.86	0
2016-07-07 16:34:52	2016-07-07 16:34:52	531	10.27.128.86	0
2016-07-07 05:34:12	2016-07-07 05:34:12	544	10.27.128.86	0
2016-07-07 14:10:51	2016-07-07 14:10:51	291	10.27.128.86	0
2016-07-07 08:58:43	2016-07-07 08:58:43	691	10.27.128.86	0
2016-07-07 08:22:41	2016-07-07 08:22:41	341	10.27.128.86	0
2016-07-07 07:28:05	2016-07-07 07:28:05	313	10.27.128.86	0
2016-07-07 14:30:19	2016-07-07 14:30:19	525	10.27.128.86	0
2016-07-07 10:55:09	2016-07-07 10:55:09	620	10.27.128.86	0
2016-07-07 20:21:53	2016-07-07 20:21:53	693	10.27.128.86	0
2016-07-07 05:15:47	2016-07-07 05:15:47	316	10.27.128.86	0
2016-07-07 16:51:16	2016-07-07 16:51:16	534	10.27.128.86	0
2016-07-07 11:03:09	2016-07-07 11:03:09	629	10.27.128.86	0
2016-07-07 08:42:07	2016-07-07 08:42:07	661	10.27.128.86	0
2016-07-07 17:19:52	2016-07-07 17:19:52	408	10.27.128.86	0
2016-07-07 05:20:40	2016-07-07 05:20:40	403	10.27.128.86	0
2016-07-07 01:25:31	2016-07-07 01:25:31	339	10.27.128.86	0
2016-07-07 07:58:11	2016-07-07 07:58:11	744	10.27.128.86	0
2016-07-07 20:41:26	2016-07-07 20:41:26	328	10.27.128.86	0
2016-07-07 17:50:53	2016-07-07 17:50:53	723	10.27.128.86	0
2016-07-07 03:03:05	2016-07-07 03:03:05	710	10.27.128.86	0
2016-07-07 15:08:55	2016-07-07 15:08:55	704	10.27.128.86	0
2016-07-07 06:57:41	2016-07-07 06:57:41	442	10.27.128.86	0
2016-07-07 12:48:17	2016-07-07 12:48:17	931	10.27.128.86	0
2016-07-07 09:34:44	2016-07-07 09:34:44	217	10.27.128.86	0
2016-07-07 06:30:16	2016-07-07 06:30:16	244	10.27.128.86	0
2016-07-07 23:41:22	2016-07-07 23:41:22	535	10.27.128.86	0
2016-07-07 05:47:42	2016-07-07 05:47:42	986	10.27.128.86	0
2016-07-07 10:08:10	2016-07-07 10:08:10	610	10.27.128.86	0
2016-07-07 04:40:03	2016-07-07 04:40:03	573	10.27.128.86	0
2016-07-07 03:25:00	2016-07-07 03:25:00	47	10.27.128.86	0
2016-07-07 12:14:10	2016-07-07 12:14:10	503	10.27.128.86	0
2016-07-07 09:53:46	2016-07-07 09:53:46	3767	10.27.128.86	0
2016-07-07 22:38:28	2016-07-07 22:38:28	690	10.27.128.86	0
2016-07-07 13:18:51	2016-07-07 13:18:51	544	10.27.128.86	0
2016-07-07 09:40:12	2016-07-07 09:40:12	236	10.27.128.86	0
2016-07-07 21:20:54	2016-07-07 21:20:54	664	10.27.128.86	0
2016-07-07 05:23:04	2016-07-07 05:23:04	805	10.27.128.86	0
2016-07-07 08:07:08	2016-07-07 08:07:08	585	10.27.128.86	0
